phase,scan_scale,n_sessions,mean_f1,is_best
bo_random,0.6038,46,0.0606,false
bo_random,0.1023,46,0.8499,false
bo_random,0.9455,46,0.0066,false
bo_random,0.4024,46,0.3532,false
bo_random,0.0165,46,0.4815,false
bo_iter_01,0.1495,46,0.8674,false
bo_iter_02,0.0507,46,0.7067,false
bo_iter_03,0.1289,46,0.8693,false
bo_iter_04,0.0100,46,0.4284,false
bo_iter_05,0.1898,46,0.8408,false
bo_iter_06,2.0000,46,0.0011,false
bo_iter_07,0.0762,46,0.7983,false
bo_iter_08,0.0305,46,0.5872,false
bo_iter_09,0.2372,46,0.7754,false
bo_iter_10,0.1172,46,0.8634,false
bo_iter_11,0.1654,46,0.8591,false
bo_iter_12,0.0630,46,0.7580,false
bo_iter_13,0.1388,46,0.8702,true
bo_iter_14,0.0226,46,0.5300,false
bo_iter_15,0.0899,46,0.8288,false
bo_iter_16,0.0100,46,0.4284,false
bo_iter_17,0.0100,46,0.4284,false
bo_iter_18,0.0100,46,0.4284,false
bo_iter_19,0.0100,46,0.4284,false
bo_iter_20,0.0100,46,0.4284,false
