pair,epoch_duration_s,epoch_duration_label,n_epochs,n_valid_epochs,best_channel,tp,fp,fn,precision,recall,f1,n_flagged,used_all_epochs,blink_region_threshold,threshold_center,threshold_dispersion
S1/S01_20170519_043933,3.0,3s,599,599,E9,131,21,6,0.8618421052631579,0.9562043795620438,0.9065743944636678,387,False,2.7565565952916748e-05,-2.782833191467312e-07,7.955385506303852e-06
S1/S01_20170519_043933_2,3.0,3s,599,599,E9,157,37,16,0.8092783505154639,0.9075144508670521,0.8555858310626703,292,False,2.869082697503572e-05,-5.849077489523515e-07,8.364495635425163e-06
S1/S01_20170519_043933_3,3.0,3s,603,603,E22,119,139,12,0.46124031007751937,0.9083969465648855,0.6118251928020565,348,False,3.6704412890370805e-05,-5.308687671725693e-07,1.063865190215525e-05
S2/TEST_20170601_042544,3.0,3s,599,599,E3,254,70,20,0.7839506172839507,0.927007299270073,0.8494983277591974,516,False,1.8164025546438653e-05,-5.153580299107615e-07,5.336966736099833e-06
S2/TEST_20170601_042544_2,3.0,3s,599,599,E9,324,82,31,0.7980295566502463,0.9126760563380282,0.8515111695137976,494,False,3.283492533023404e-05,-9.545420472658719e-07,9.654133536428545e-06
S2/TEST_20170601_042544_3,3.0,3s,556,556,E3,242,29,16,0.8929889298892989,0.937984496124031,0.9149338374291115,445,False,2.34827097167398e-05,-8.907345270620168e-07,6.963841212514805e-06
S3/S03_20170605_033654,3.0,3s,599,599,E3,50,7,6,0.8771929824561403,0.8928571428571429,0.8849557522123894,254,False,2.5870709399500265e-05,-2.0852422965647465e-07,7.451209608330497e-06
S3/S03_20170605_033654_2,3.0,3s,599,599,E22,76,19,18,0.8,0.8085106382978723,0.8042328042328043,274,False,5.418770268001441e-05,-1.2285047358231298e-06,1.5833202118810725e-05
S3/S03_20170605_033654_3,3.0,3s,484,484,E22,42,62,51,0.40384615384615385,0.45161290322580644,0.4263959390862945,352,False,6.899576669301809e-05,-6.797725752850676e-07,1.99072969338009e-05
S4/S04_20170606_045500,3.0,3s,599,599,E9,508,27,62,0.9495327102803738,0.8912280701754386,0.9194570135746606,276,False,3.5329241085129365e-05,-3.2038509396833514e-06,1.1009454864232205e-05
S4/S04_20170606_045500_2,3.0,3s,599,599,E9,616,34,180,0.9476923076923077,0.7738693467336684,0.8520055325034578,344,False,5.058687283717201e-05,-3.888687049174862e-06,1.5564445681813393e-05
S4/S04_20170606_045500_3,3.0,3s,612,612,E9,1139,71,96,0.9413223140495868,0.9222672064777327,0.9316973415132923,550,False,5.620173730627685e-05,-6.517419712034841e-06,1.7919759148089056e-05
S5/S05_20170607_032937,3.0,3s,599,599,E9,291,49,19,0.8558823529411764,0.9387096774193548,0.8953846153846153,299,False,4.600668090889357e-05,-2.6978742624370004e-06,1.3915587191808734e-05
S1/S01_20170519_043933,5.0,5s,359,359,E9,129,16,8,0.8896551724137931,0.9416058394160584,0.9148936170212766,115,False,3.0179264905957756e-05,-7.484321211278413e-07,8.836484864881599e-06
S1/S01_20170519_043933_2,5.0,5s,359,359,E9,160,37,13,0.8121827411167513,0.9248554913294798,0.8648648648648649,121,False,3.03129943878577e-05,-1.0814472658196318e-06,8.969840472479238e-06
S1/S01_20170519_043933_3,5.0,5s,362,362,E22,121,139,10,0.4653846153846154,0.9236641221374046,0.618925831202046,212,False,3.6740682553102475e-05,-5.352346826732964e-07,1.0650262067364508e-05
S2/TEST_20170601_042544,5.0,5s,359,359,E9,263,48,11,0.8456591639871383,0.9598540145985401,0.8991452991452991,164,False,3.105801283208479e-05,-1.7288610779333835e-06,9.367678260005191e-06
S2/TEST_20170601_042544_2,5.0,5s,359,359,E22,337,80,18,0.8081534772182254,0.9492957746478873,0.8730569948186527,305,False,3.411704154001807e-05,-1.070912053410508e-06,1.0053701026693878e-05
S2/TEST_20170601_042544_3,5.0,5s,333,333,E3,243,30,15,0.8901098901098901,0.9418604651162791,0.9152542372881357,282,False,2.2540597979104212e-05,-8.6471143039347e-07,6.68723125985648e-06
S3/S03_20170605_033654,5.0,5s,359,359,E3,53,7,3,0.8833333333333333,0.9464285714285714,0.9137931034482758,35,False,2.5143994963850113e-05,-7.611652185105422e-07,7.40147433781733e-06
S3/S03_20170605_033654_2,5.0,5s,359,359,E9,77,20,17,0.7938144329896907,0.8191489361702128,0.806282722513089,131,False,4.8893432689698464e-05,-1.2408711552142586e-06,1.4324086812832207e-05
S3/S03_20170605_033654_3,5.0,5s,290,290,E22,33,45,60,0.4230769230769231,0.3548387096774194,0.3859649122807018,88,False,7.921106441960834e-05,-1.2868641876642722e-06,2.2999408173506463e-05
S4/S04_20170606_045500,5.0,5s,359,359,E9,520,24,50,0.9558823529411765,0.9122807017543859,0.9335727109515262,124,False,3.5227045362027875e-05,-2.6949762808392957e-06,1.0834863326533479e-05
S4/S04_20170606_045500_2,5.0,5s,359,359,E9,697,44,99,0.9406207827260459,0.8756281407035176,0.9069616135328563,288,False,4.19345611797648e-05,-2.558377728115918e-06,1.2712268259394493e-05
S4/S04_20170606_045500_3,5.0,5s,367,367,E9,612,9,623,0.9855072463768116,0.49554655870445347,0.6594827586206896,67,False,0.00010580866696783743,-8.530486205114325e-06,3.2668329477986214e-05
S5/S05_20170607_032937,5.0,5s,359,359,E9,300,40,10,0.8823529411764706,0.967741935483871,0.923076923076923,251,False,4.012768607033374e-05,-1.4485865595988638e-06,1.18789350371236e-05
S1/S01_20170519_043933,10.0,10s,179,179,E9,133,17,4,0.8866666666666667,0.9708029197080292,0.926829268292683,47,False,2.7786559489052436e-05,-6.918363731557958e-07,8.136684532059494e-06
S1/S01_20170519_043933_2,10.0,10s,179,179,E9,165,38,8,0.812807881773399,0.953757225433526,0.8776595744680851,93,False,2.6097823297929774e-05,-5.933947190291273e-07,7.626062290559686e-06
S1/S01_20170519_043933_3,10.0,10s,181,181,E22,122,134,9,0.4765625,0.9312977099236641,0.6304909560723514,81,False,3.75909273248524e-05,-6.704263540511107e-07,1.0931815336829574e-05
S2/TEST_20170601_042544,10.0,10s,179,179,E3,268,56,6,0.8271604938271605,0.9781021897810219,0.8963210702341138,153,False,1.8424787639863472e-05,-5.385082499457739e-07,5.4180845399454995e-06
S2/TEST_20170601_042544_2,10.0,10s,179,179,E9,340,77,15,0.815347721822542,0.9577464788732394,0.8808290155440416,152,False,3.006261079769174e-05,-8.87722127746867e-07,8.84295226441103e-06
S2/TEST_20170601_042544_3,10.0,10s,166,166,E3,244,27,14,0.9003690036900369,0.9457364341085271,0.9224952741020794,103,False,2.2675263105979565e-05,-1.1713333197829208e-06,6.813313264503567e-06
S3/S03_20170605_033654,10.0,10s,179,179,E3,53,7,3,0.8833333333333333,0.9464285714285714,0.9137931034482758,35,False,2.3537922228738924e-05,-2.7074942460974317e-07,6.802477615242476e-06
S3/S03_20170605_033654_2,10.0,10s,179,179,E9,78,20,16,0.7959183673469388,0.8297872340425532,0.8125,53,False,4.846128040842097e-05,-9.96561791511314e-07,1.413081205712351e-05
S3/S03_20170605_033654_3,10.0,10s,145,145,E22,43,55,50,0.4387755102040816,0.46236559139784944,0.450261780104712,57,False,7.148310757926385e-05,-1.0429973149480378e-06,2.072174425548911e-05
S4/S04_20170606_045500,10.0,10s,179,179,E9,536,22,34,0.9605734767025089,0.9403508771929825,0.950354609929078,49,False,3.3693635408954284e-05,-1.8716440377434296e-06,1.0161508413342203e-05
S4/S04_20170606_045500_2,10.0,10s,179,179,E9,667,34,129,0.9514978601997147,0.8379396984924623,0.8911155644622579,117,False,4.6547806320591506e-05,-2.7788295706351683e-06,1.4093324540350478e-05
S4/S04_20170606_045500_3,10.0,10s,183,183,E9,910,18,325,0.9806034482758621,0.7368421052631579,0.8414239482200646,39,False,8.836287315223498e-05,-8.19770112557314e-06,2.758873550794518e-05
