channel,raw_candidate_count,mapped_candidate_count,tp,fp,fn,precision,recall,f1,dataset,session,selection,center_method,condition,n_channels_used,n_valid,flagged_valid_epoch_indices,n_flagged,used_all_epochs,blink_region_threshold,threshold_center,threshold_dispersion
F8,1807,1807,1569,238,74,0.8682899833978971,0.9549604382227632,0.9095652173913044,cao2018,S11/060920_1n,all_channel,median,median__all_channel__F8,32,128,"[0, 2, 4, 8, 10, 17, 18, 19, 20, 21, 22, 24, 26, 27, 28, 29, 30, 31, 34, 36, 37, 38, 41, 42, 48, 51, 55, 57, 59, 60, 61, 62, 63, 66, 69, 71, 75, 82, 88, 90, 93, 94, 106, 108, 110, 111, 114, 116, 117, 118, 126]",51,False,3.6075501063707306e-05,-2.7797369852019213e-06,1.2951746016303074e-05
F4,1906,1906,1603,303,40,0.8410283315844701,0.9756542909312234,0.9033530571992111,cao2018,S11/060920_1n,all_channel,median,median__all_channel__F4,32,128,"[0, 2, 4, 8, 10, 17, 18, 19, 20, 21, 22, 24, 26, 27, 28, 29, 30, 31, 34, 36, 37, 38, 41, 42, 48, 51, 55, 57, 59, 60, 61, 62, 63, 66, 69, 71, 75, 82, 88, 90, 93, 94, 106, 108, 110, 111, 114, 116, 117, 118, 126]",51,False,3.812802203827601e-05,-3.233481395133944e-06,1.3787167811136649e-05
FP2,1977,1977,1631,346,12,0.8249873545776429,0.992696287279367,0.9011049723756906,cao2018,S11/060920_1n,all_channel,median,median__all_channel__FP2,32,128,"[0, 2, 4, 8, 10, 17, 18, 19, 20, 21, 22, 24, 26, 27, 28, 29, 30, 31, 34, 36, 37, 38, 41, 42, 48, 51, 55, 57, 59, 60, 61, 62, 63, 66, 69, 71, 75, 82, 88, 90, 93, 94, 106, 108, 110, 111, 114, 116, 117, 118, 126]",51,False,6.606000246055251e-05,-6.809194712353844e-06,2.428973239096879e-05
FP1,1981,1981,1632,349,11,0.8238263503281171,0.9933049300060864,0.9006622516556292,cao2018,S11/060920_1n,all_channel,median,median__all_channel__FP1,32,128,"[0, 2, 4, 8, 10, 17, 18, 19, 20, 21, 22, 24, 26, 27, 28, 29, 30, 31, 34, 36, 37, 38, 41, 42, 48, 51, 55, 57, 59, 60, 61, 62, 63, 66, 69, 71, 75, 82, 88, 90, 93, 94, 106, 108, 110, 111, 114, 116, 117, 118, 126]",51,False,6.822424954228378e-05,-7.298572824155499e-06,2.517427412214643e-05
FZ,1912,1912,1595,317,48,0.8342050209205021,0.970785149117468,0.8973277074542898,cao2018,S11/060920_1n,all_channel,median,median__all_channel__FZ,32,128,"[0, 2, 4, 8, 10, 17, 18, 19, 20, 21, 22, 24, 26, 27, 28, 29, 30, 31, 34, 36, 37, 38, 41, 42, 48, 51, 55, 57, 59, 60, 61, 62, 63, 66, 69, 71, 75, 82, 88, 90, 93, 94, 106, 108, 110, 111, 114, 116, 117, 118, 126]",51,False,3.516619335740667e-05,-2.700694280169076e-06,1.2622295879191918e-05
F3,1926,1926,1599,327,44,0.8302180685358256,0.9732197200243458,0.8960493135332026,cao2018,S11/060920_1n,all_channel,median,median__all_channel__F3,32,128,"[0, 2, 4, 8, 10, 17, 18, 19, 20, 21, 22, 24, 26, 27, 28, 29, 30, 31, 34, 36, 37, 38, 41, 42, 48, 51, 55, 57, 59, 60, 61, 62, 63, 66, 69, 71, 75, 82, 88, 90, 93, 94, 106, 108, 110, 111, 114, 116, 117, 118, 126]",51,False,3.5693612733501434e-05,-2.8501770080216128e-06,1.2847929913841015e-05
F7,1905,1905,1584,321,59,0.831496062992126,0.9640900791235545,0.8928974069898534,cao2018,S11/060920_1n,all_channel,median,median__all_channel__F7,32,128,"[0, 2, 4, 8, 10, 17, 18, 19, 20, 21, 22, 24, 26, 27, 28, 29, 30, 31, 34, 36, 37, 38, 41, 42, 48, 51, 55, 57, 59, 60, 61, 62, 63, 66, 69, 71, 75, 82, 88, 90, 93, 94, 106, 108, 110, 111, 114, 116, 117, 118, 126]",51,False,3.371896956773999e-05,-2.6377193071277165e-06,1.2118896291622569e-05
FC4,1611,1611,1440,171,203,0.8938547486033519,0.8764455264759586,0.8850645359557467,cao2018,S11/060920_1n,all_channel,median,median__all_channel__FC4,32,128,"[0, 2, 4, 8, 10, 17, 18, 19, 20, 21, 22, 24, 26, 27, 28, 29, 30, 31, 34, 36, 37, 38, 41, 42, 48, 51, 55, 57, 59, 60, 61, 62, 63, 66, 69, 71, 75, 82, 88, 90, 93, 94, 106, 108, 110, 111, 114, 116, 117, 118, 126]",51,False,3.096053514113684e-05,-1.668249961337504e-06,1.0876261700824782e-05
FCZ,1625,1625,1409,216,234,0.8670769230769231,0.8575776019476568,0.8623011015911872,cao2018,S11/060920_1n,all_channel,median,median__all_channel__FCZ,32,128,"[0, 2, 4, 8, 10, 17, 18, 19, 20, 21, 22, 24, 26, 27, 28, 29, 30, 31, 34, 36, 37, 38, 41, 42, 48, 51, 55, 57, 59, 60, 61, 62, 63, 66, 69, 71, 75, 82, 88, 90, 93, 94, 106, 108, 110, 111, 114, 116, 117, 118, 126]",51,False,3.15897598905777e-05,-1.6900781979521874e-06,1.1093279362843295e-05
FC3,1604,1604,1380,224,263,0.8603491271820449,0.8399269628727937,0.850015398829689,cao2018,S11/060920_1n,all_channel,median,median__all_channel__FC3,32,128,"[0, 2, 4, 8, 10, 17, 18, 19, 20, 21, 22, 24, 26, 27, 28, 29, 30, 31, 34, 36, 37, 38, 41, 42, 48, 51, 55, 57, 59, 60, 61, 62, 63, 66, 69, 71, 75, 82, 88, 90, 93, 94, 106, 108, 110, 111, 114, 116, 117, 118, 126]",51,False,3.031085636835723e-05,-1.6064026073790263e-06,1.0639086325245418e-05
FT8,1256,1256,1154,102,489,0.9187898089171974,0.7023737066342057,0.7961365988271818,cao2018,S11/060920_1n,all_channel,median,median__all_channel__FT8,32,128,"[0, 2, 4, 8, 10, 17, 18, 19, 20, 21, 22, 24, 26, 27, 28, 29, 30, 31, 34, 36, 37, 38, 41, 42, 48, 51, 55, 57, 59, 60, 61, 62, 63, 66, 69, 71, 75, 82, 88, 90, 93, 94, 106, 108, 110, 111, 114, 116, 117, 118, 126]",51,False,2.5623871892475182e-05,-9.124848170007457e-07,8.845452236491976e-06
FT7,1448,1448,1194,254,449,0.824585635359116,0.7267194157029824,0.772565512779036,cao2018,S11/060920_1n,all_channel,median,median__all_channel__FT7,32,128,"[0, 2, 4, 8, 10, 17, 18, 19, 20, 21, 22, 24, 26, 27, 28, 29, 30, 31, 34, 36, 37, 38, 41, 42, 48, 51, 55, 57, 59, 60, 61, 62, 63, 66, 69, 71, 75, 82, 88, 90, 93, 94, 106, 108, 110, 111, 114, 116, 117, 118, 126]",51,False,2.4916537105525095e-05,-1.1388759274358135e-06,8.685137677653636e-06
C4,1018,1018,901,117,742,0.8850687622789783,0.5483870967741935,0.6771890266816986,cao2018,S11/060920_1n,all_channel,median,median__all_channel__C4,32,128,"[0, 2, 4, 8, 10, 17, 18, 19, 20, 21, 22, 24, 26, 27, 28, 29, 30, 31, 34, 36, 37, 38, 41, 42, 48, 51, 55, 57, 59, 60, 61, 62, 63, 66, 69, 71, 75, 82, 88, 90, 93, 94, 106, 108, 110, 111, 114, 116, 117, 118, 126]",51,False,2.8406561942887163e-05,-9.808546653083234e-07,9.795805536065162e-06
C3,1062,1062,897,165,746,0.844632768361582,0.5459525258673159,0.6632162661737524,cao2018,S11/060920_1n,all_channel,median,median__all_channel__C3,32,128,"[0, 2, 4, 8, 10, 17, 18, 19, 20, 21, 22, 24, 26, 27, 28, 29, 30, 31, 34, 36, 37, 38, 41, 42, 48, 51, 55, 57, 59, 60, 61, 62, 63, 66, 69, 71, 75, 82, 88, 90, 93, 94, 106, 108, 110, 111, 114, 116, 117, 118, 126]",51,False,2.7151086473874788e-05,-1.0219844441882779e-06,9.391023639354355e-06
CZ,977,977,836,141,807,0.8556806550665302,0.5088253195374315,0.6381679389312976,cao2018,S11/060920_1n,all_channel,median,median__all_channel__CZ,32,128,"[0, 2, 4, 8, 10, 17, 18, 19, 20, 21, 22, 24, 26, 27, 28, 29, 30, 31, 34, 36, 37, 38, 41, 42, 48, 51, 55, 57, 59, 60, 61, 62, 63, 66, 69, 71, 75, 82, 88, 90, 93, 94, 106, 108, 110, 111, 114, 116, 117, 118, 126]",51,False,2.965429517391065e-05,-9.574649467128795e-07,1.0203920040207845e-05
CP3,436,436,331,105,1312,0.7591743119266054,0.2014607425441266,0.31842231842231844,cao2018,S11/060920_1n,all_channel,median,median__all_channel__CP3,32,128,"[0, 2, 4, 8, 10, 17, 18, 19, 20, 21, 22, 24, 26, 27, 28, 29, 30, 31, 34, 36, 37, 38, 41, 42, 48, 51, 55, 57, 59, 60, 61, 62, 63, 66, 69, 71, 75, 82, 88, 90, 93, 94, 106, 108, 110, 111, 114, 116, 117, 118, 126]",51,False,2.448577692526906e-05,-6.065162564607532e-07,8.364097727243271e-06
T3,479,479,336,143,1307,0.7014613778705637,0.20450395617772368,0.3166823751178134,cao2018,S11/060920_1n,all_channel,median,median__all_channel__T3,32,128,"[0, 2, 4, 8, 10, 17, 18, 19, 20, 21, 22, 24, 26, 27, 28, 29, 30, 31, 34, 36, 37, 38, 41, 42, 48, 51, 55, 57, 59, 60, 61, 62, 63, 66, 69, 71, 75, 82, 88, 90, 93, 94, 106, 108, 110, 111, 114, 116, 117, 118, 126]",51,False,1.986716587550997e-05,-4.96767828630723e-07,6.787977901380232e-06
CP4,392,392,315,77,1328,0.8035714285714286,0.19172245891661593,0.30958230958230953,cao2018,S11/060920_1n,all_channel,median,median__all_channel__CP4,32,128,"[0, 2, 4, 8, 10, 17, 18, 19, 20, 21, 22, 24, 26, 27, 28, 29, 30, 31, 34, 36, 37, 38, 41, 42, 48, 51, 55, 57, 59, 60, 61, 62, 63, 66, 69, 71, 75, 82, 88, 90, 93, 94, 106, 108, 110, 111, 114, 116, 117, 118, 126]",51,False,2.655564233633246e-05,-5.811476869268241e-07,9.045596674419761e-06
CPZ,409,409,309,100,1334,0.7555012224938875,0.18807060255629945,0.30116959064327486,cao2018,S11/060920_1n,all_channel,median,median__all_channel__CPZ,32,128,"[0, 2, 4, 8, 10, 17, 18, 19, 20, 21, 22, 24, 26, 27, 28, 29, 30, 31, 34, 36, 37, 38, 41, 42, 48, 51, 55, 57, 59, 60, 61, 62, 63, 66, 69, 71, 75, 82, 88, 90, 93, 94, 106, 108, 110, 111, 114, 116, 117, 118, 126]",51,False,2.6321927047232224e-05,-5.365824068286215e-07,8.952836484686949e-06
T4,288,288,222,66,1421,0.7708333333333334,0.1351186853317103,0.22993267736923875,cao2018,S11/060920_1n,all_channel,median,median__all_channel__T4,32,128,"[0, 2, 4, 8, 10, 17, 18, 19, 20, 21, 22, 24, 26, 27, 28, 29, 30, 31, 34, 36, 37, 38, 41, 42, 48, 51, 55, 57, 59, 60, 61, 62, 63, 66, 69, 71, 75, 82, 88, 90, 93, 94, 106, 108, 110, 111, 114, 116, 117, 118, 126]",51,False,2.0680221518328466e-05,-2.3464876839829705e-07,6.9716234289089216e-06
P4,269,269,198,71,1445,0.7360594795539034,0.12051125989044431,0.20711297071129708,cao2018,S11/060920_1n,all_channel,median,median__all_channel__P4,32,128,"[0, 2, 4, 8, 10, 17, 18, 19, 20, 21, 22, 24, 26, 27, 28, 29, 30, 31, 34, 36, 37, 38, 41, 42, 48, 51, 55, 57, 59, 60, 61, 62, 63, 66, 69, 71, 75, 82, 88, 90, 93, 94, 106, 108, 110, 111, 114, 116, 117, 118, 126]",51,False,2.4604863106729195e-05,-5.127497215019011e-07,8.372537609410366e-06
