channel,raw_candidate_count,mapped_candidate_count,tp,fp,fn,precision,recall,f1,dataset,session,selection,center_method,condition,n_channels_used,n_valid,flagged_valid_epoch_indices,n_flagged,used_all_epochs,blink_region_threshold,threshold_center,threshold_dispersion
FP2,656,656,486,170,97,0.7408536585365854,0.8336192109777015,0.784503631961259,cao2018,S41/080530n,all_channel,median,median__all_channel__FP2,32,125,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 31, 37, 40, 66, 81, 86, 107, 109, 116, 119]",30,False,7.68764909101915e-05,-7.247666416613661e-06,2.8041385775601718e-05
FP1,668,668,474,194,109,0.7095808383233533,0.8130360205831904,0.7577937649880097,cao2018,S41/080530n,all_channel,median,median__all_channel__FP1,32,125,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 31, 37, 40, 66, 81, 86, 107, 109, 116, 119]",30,False,7.196395810115278e-05,-6.464263701576536e-06,2.6142740600909773e-05
F7,451,451,301,150,282,0.6674057649667405,0.516295025728988,0.5822050290135397,cao2018,S41/080530n,all_channel,median,median__all_channel__F7,32,125,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 31, 37, 40, 66, 81, 86, 107, 109, 116, 119]",30,False,4.226581482266753e-05,-2.9092339250877113e-06,1.505834958258508e-05
F8,314,314,241,73,342,0.767515923566879,0.41337907375643224,0.5373467112597546,cao2018,S41/080530n,all_channel,median,median__all_channel__F8,32,125,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 31, 37, 40, 66, 81, 86, 107, 109, 116, 119]",30,False,3.8020984429485166e-05,-2.5253079461835012e-06,1.3515430791889555e-05
F3,308,308,222,86,361,0.7207792207792207,0.38078902229845624,0.4983164983164983,cao2018,S41/080530n,all_channel,median,median__all_channel__F3,32,125,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 31, 37, 40, 66, 81, 86, 107, 109, 116, 119]",30,False,4.218147762712825e-05,-2.4650884519287945e-06,1.4882188693019017e-05
F4,279,279,212,67,371,0.7598566308243727,0.36363636363636365,0.4918793503480279,cao2018,S41/080530n,all_channel,median,median__all_channel__F4,32,125,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 31, 37, 40, 66, 81, 86, 107, 109, 116, 119]",30,False,4.209404291204391e-05,-2.4682234096973597e-06,1.4854088773913758e-05
FZ,236,236,158,78,425,0.6694915254237288,0.27101200686106347,0.3858363858363858,cao2018,S41/080530n,all_channel,median,median__all_channel__FZ,32,125,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 31, 37, 40, 66, 81, 86, 107, 109, 116, 119]",30,False,4.295616202267341e-05,-2.165076223866846e-06,1.5040412748846752e-05
FT7,205,205,109,96,474,0.5317073170731708,0.18696397941680962,0.2766497461928934,cao2018,S41/080530n,all_channel,median,median__all_channel__FT7,32,125,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 31, 37, 40, 66, 81, 86, 107, 109, 116, 119]",30,False,2.8104351123994078e-05,-1.2860429516511207e-06,9.796798025215067e-06
FT8,133,133,99,34,484,0.7443609022556391,0.16981132075471697,0.276536312849162,cao2018,S41/080530n,all_channel,median,median__all_channel__FT8,32,125,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 31, 37, 40, 66, 81, 86, 107, 109, 116, 119]",30,False,2.6440759142675236e-05,-1.19059352949613e-06,9.210450890723788e-06
FC3,119,119,53,66,530,0.44537815126050423,0.09090909090909091,0.150997150997151,cao2018,S41/080530n,all_channel,median,median__all_channel__FC3,32,125,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 31, 37, 40, 66, 81, 86, 107, 109, 116, 119]",30,False,3.5750437971751044e-05,-1.2286516272609473e-06,1.2326363199670665e-05
FC4,113,113,50,63,533,0.4424778761061947,0.08576329331046312,0.14367816091954022,cao2018,S41/080530n,all_channel,median,median__all_channel__FC4,32,125,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 31, 37, 40, 66, 81, 86, 107, 109, 116, 119]",30,False,3.4421983289179945e-05,-1.256234381744258e-06,1.1892739223641403e-05
T3,88,88,30,58,553,0.3409090909090909,0.051457975986277875,0.08941877794336811,cao2018,S41/080530n,all_channel,median,median__all_channel__T3,32,125,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 31, 37, 40, 66, 81, 86, 107, 109, 116, 119]",30,False,2.2460970391583682e-05,-6.327775925005788e-07,7.697915994694753e-06
