channel,raw_candidate_count,mapped_candidate_count,tp,fp,fn,precision,recall,f1,dataset,session,selection,center_method,condition,n_channels_used,n_valid,flagged_valid_epoch_indices,n_flagged,used_all_epochs,blink_region_threshold,threshold_center,threshold_dispersion
FP1,1020,1020,289,731,78,0.2833333333333333,0.7874659400544959,0.4167267483777938,cao2018,S53/090925m,all_channel,median,median__all_channel__FP1,32,180,"[4, 7, 9, 20, 22, 24, 37, 40, 52, 55, 58, 71, 76, 92, 102, 106, 108, 116, 117, 120, 125, 126, 143, 149, 161, 165, 179]",27,False,5.431774680186178e-05,-5.900680874829537e-07,1.830260496311491e-05
FP2,1013,1013,253,760,114,0.24975320829220138,0.6893732970027248,0.3666666666666667,cao2018,S53/090925m,all_channel,median,median__all_channel__FP2,32,180,"[4, 7, 9, 20, 22, 24, 37, 40, 52, 55, 58, 71, 76, 92, 102, 106, 108, 116, 117, 120, 125, 126, 143, 149, 161, 165, 179]",27,False,5.215391693934167e-05,-3.6410630530476006e-07,1.7506007748215475e-05
F3,434,434,91,343,276,0.20967741935483872,0.24795640326975477,0.22721598002496876,cao2018,S53/090925m,all_channel,median,median__all_channel__F3,32,180,"[4, 7, 9, 20, 22, 24, 37, 40, 52, 55, 58, 71, 76, 92, 102, 106, 108, 116, 117, 120, 125, 126, 143, 149, 161, 165, 179]",27,False,3.925317551529151e-05,-2.1319569235290814e-07,1.3155457069214805e-05
F7,290,290,72,218,295,0.2482758620689655,0.19618528610354224,0.21917808219178084,cao2018,S53/090925m,all_channel,median,median__all_channel__F7,32,180,"[4, 7, 9, 20, 22, 24, 37, 40, 52, 55, 58, 71, 76, 92, 102, 106, 108, 116, 117, 120, 125, 126, 143, 149, 161, 165, 179]",27,False,3.8050121389687944e-05,-2.886459107583275e-07,1.2779589100148756e-05
FZ,428,428,79,349,288,0.18457943925233644,0.21525885558583105,0.19874213836477989,cao2018,S53/090925m,all_channel,median,median__all_channel__FZ,32,180,"[4, 7, 9, 20, 22, 24, 37, 40, 52, 55, 58, 71, 76, 92, 102, 106, 108, 116, 117, 120, 125, 126, 143, 149, 161, 165, 179]",27,False,4.1455460624432364e-05,-1.2743741655194158e-07,1.3860966013661436e-05
F4,441,441,74,367,293,0.16780045351473924,0.2016348773841962,0.1831683168316832,cao2018,S53/090925m,all_channel,median,median__all_channel__F4,32,180,"[4, 7, 9, 20, 22, 24, 37, 40, 52, 55, 58, 71, 76, 92, 102, 106, 108, 116, 117, 120, 125, 126, 143, 149, 161, 165, 179]",27,False,4.084777012212838e-05,-2.2337019832681634e-08,1.3623369047320354e-05
F8,484,484,72,412,295,0.1487603305785124,0.19618528610354224,0.1692126909518214,cao2018,S53/090925m,all_channel,median,median__all_channel__F8,32,180,"[4, 7, 9, 20, 22, 24, 37, 40, 52, 55, 58, 71, 76, 92, 102, 106, 108, 116, 117, 120, 125, 126, 143, 149, 161, 165, 179]",27,False,3.639223606571985e-05,2.891231624647742e-08,1.2121107916491123e-05
FT8,403,403,59,344,308,0.14640198511166252,0.16076294277929154,0.15324675324675324,cao2018,S53/090925m,all_channel,median,median__all_channel__FT8,32,180,"[4, 7, 9, 20, 22, 24, 37, 40, 52, 55, 58, 71, 76, 92, 102, 106, 108, 116, 117, 120, 125, 126, 143, 149, 161, 165, 179]",27,False,3.4955838987461725e-05,4.275534074852618e-08,1.1637694548904401e-05
FC3,250,250,37,213,330,0.148,0.1008174386920981,0.11993517017828201,cao2018,S53/090925m,all_channel,median,median__all_channel__FC3,32,180,"[4, 7, 9, 20, 22, 24, 37, 40, 52, 55, 58, 71, 76, 92, 102, 106, 108, 116, 117, 120, 125, 126, 143, 149, 161, 165, 179]",27,False,3.478575290651888e-05,-1.3647402207555405e-07,1.1640742309531477e-05
FT7,145,145,26,119,341,0.1793103448275862,0.07084468664850137,0.1015625,cao2018,S53/090925m,all_channel,median,median__all_channel__FT7,32,180,"[4, 7, 9, 20, 22, 24, 37, 40, 52, 55, 58, 71, 76, 92, 102, 106, 108, 116, 117, 120, 125, 126, 143, 149, 161, 165, 179]",27,False,3.035637762699601e-05,-1.4388325966724296e-07,1.0166753628887752e-05
