dataset,selection,channel,center_method,n_sessions,raw_candidate_count,mapped_candidate_count,tp,fp,fn,n_valid,n_flagged,n_channels_used,blink_region_threshold,threshold_center,threshold_dispersion,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro,used_all_epochs
raja,af3_only,E23,median,46,19942.0,19942.0,18110.0,1832.0,12985.0,2600.0,254.0,1.0,5.32617699289501e-05,-1.848558455138986e-06,1.8370109461363027e-05,0.8201242009387023,0.6330705272192,0.675948467134743,0.90813358740347,0.5824087473870397,0.7096812116699649,MIXED
raja,af3_only,E23,mean,46,19128.0,19128.0,17427.0,1701.0,13668.0,2600.0,254.0,1.0,5.510609686709158e-05,-4.231516997508927e-09,1.8370109461363027e-05,0.8238702913049977,0.6148312935631945,0.661840187713748,0.9110727728983689,0.5604438012542209,0.693984827668598,MIXED
raja,af4_only,E3,median,46,22050.0,22050.0,20349.0,1701.0,10746.0,2600.0,291.0,1.0,3.685024006964471e-05,-1.831224690066201e-06,1.2893821586570302e-05,0.8764933253211131,0.7010438706619158,0.7516064153660895,0.9228571428571428,0.6544138929088278,0.765791701947502,MIXED
raja,af4_only,E3,mean,46,20845.0,20845.0,19261.0,1584.0,11834.0,2600.0,291.0,1.0,3.89077269196663e-05,2.2626215995538843e-07,1.2893821586570302e-05,0.8786302085523472,0.6743156167225667,0.7300214811773895,0.9240105540897098,0.6194243447499598,0.7416634578359647,MIXED
raja,all_channel,E104,median,46,1803.0,1803.0,295.0,1508.0,30800.0,2600.0,1698.0,32.0,6.029642351306207e-05,3.2593800088954534e-07,1.9990161837390843e-05,0.15731502764341823,0.01028136315570408,0.0185208677084221,0.16361619523017193,0.00948705579675189,0.017934220925284215,False
raja,all_channel,E109,median,46,2591.0,2591.0,494.0,2097.0,30601.0,2600.0,1698.0,32.0,2.1826009776926377e-05,3.204867299205999e-07,7.168507682335259e-06,0.16961455935983438,0.015301328362549486,0.02658258486761283,0.1906599768429178,0.015886798520662486,0.029329691860119928,False
raja,all_channel,E11,median,46,19431.0,19431.0,17419.0,2012.0,13676.0,2600.0,1698.0,32.0,2.980886237556528e-05,-9.68310353289915e-07,1.0259057576285065e-05,0.8053216637009583,0.5991967034592444,0.6416366659033038,0.896454119705625,0.5601865251648175,0.689506392748288,False
raja,all_channel,E112,median,46,2157.0,2157.0,586.0,1571.0,30509.0,2600.0,1698.0,32.0,7.878548273232712e-05,1.7741885026406066e-07,2.6202687960687686e-05,0.2758457890695311,0.017543598988852088,0.03105795738294379,0.2716736207695874,0.018845473548802057,0.03524600024058703,False
raja,all_channel,E117,median,46,3080.0,3080.0,1238.0,1842.0,29857.0,2600.0,1698.0,32.0,0.00010069222991770715,-4.703473842301408e-08,3.357975488537672e-05,0.3738222284790458,0.0511460912262661,0.08103783919408719,0.40194805194805194,0.03981347483518251,0.07245062179956109,False
raja,all_channel,E122,median,46,5412.0,5412.0,1687.0,3725.0,29408.0,2600.0,1698.0,32.0,2.9073996932013976e-05,1.376553235080911e-07,9.645447202835295e-06,0.29584839274186703,0.059974377223842724,0.09219871812835156,0.31171470805617146,0.054253095352950635,0.0924206316596817,False
