channel,raw_candidate_count,mapped_candidate_count,tp,fp,fn,precision,recall,f1,dataset,session,selection,center_method,condition,n_channels_used,n_valid,flagged_valid_epoch_indices,n_flagged,used_all_epochs,blink_region_threshold,threshold_center,threshold_dispersion
E22,803,803,794,9,23,0.9887920298879203,0.9718482252141983,0.9802469135802468,raja,S23/S36_20190125_040931,all_channel,median,median__all_channel__E22,32,59,"[0, 1, 4, 8, 9, 14, 18, 20, 25, 30, 33, 34, 35, 37, 40, 43, 45, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58]",29,False,3.3063696880693666e-05,-2.807818840866066e-06,1.1957171907186578e-05
E9,809,809,790,19,27,0.9765142150803461,0.966952264381885,0.9717097170971709,raja,S23/S36_20190125_040931,all_channel,median,median__all_channel__E9,32,59,"[0, 1, 4, 8, 9, 14, 18, 20, 25, 30, 33, 34, 35, 37, 40, 43, 45, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58]",29,False,3.286505092072441e-05,-2.6175897952493526e-06,1.1827546905324586e-05
E3,757,757,749,8,68,0.9894319682959049,0.9167686658506732,0.951715374841169,raja,S23/S36_20190125_040931,all_channel,median,median__all_channel__E3,32,59,"[0, 1, 4, 8, 9, 14, 18, 20, 25, 30, 33, 34, 35, 37, 40, 43, 45, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58]",29,False,3.018977296510353e-05,-1.6327897068206216e-06,1.0607520890641384e-05
E23,762,762,747,15,70,0.9803149606299213,0.9143206854345165,0.9461684610512984,raja,S23/S36_20190125_040931,all_channel,median,median__all_channel__E23,32,59,"[0, 1, 4, 8, 9, 14, 18, 20, 25, 30, 33, 34, 35, 37, 40, 43, 45, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58]",29,False,2.762997473487077e-05,-1.5747253498882808e-06,9.734900028253017e-06
E11,734,734,721,13,96,0.9822888283378747,0.8824969400244798,0.9297227595099934,raja,S23/S36_20190125_040931,all_channel,median,median__all_channel__E11,32,59,"[0, 1, 4, 8, 9, 14, 18, 20, 25, 30, 33, 34, 35, 37, 40, 43, 45, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58]",29,False,2.2820484860946936e-05,-9.890512819695675e-07,7.936512047638834e-06
E26,738,738,697,41,120,0.9444444444444444,0.8531211750305998,0.8964630225080386,raja,S23/S36_20190125_040931,all_channel,median,median__all_channel__E26,32,59,"[0, 1, 4, 8, 9, 14, 18, 20, 25, 30, 33, 34, 35, 37, 40, 43, 45, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58]",29,False,2.523224433221817e-05,-1.3371983611858085e-06,8.856480897801327e-06
E124,616,616,605,11,212,0.9821428571428571,0.7405140758873929,0.8443824145150035,raja,S23/S36_20190125_040931,all_channel,median,median__all_channel__E124,32,59,"[0, 1, 4, 8, 9, 14, 18, 20, 25, 30, 33, 34, 35, 37, 40, 43, 45, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58]",29,False,2.225132217366891e-05,-7.871865344397538e-07,7.679502902702887e-06
E24,419,419,406,13,411,0.9689737470167065,0.4969400244798042,0.656957928802589,raja,S23/S36_20190125_040931,all_channel,median,median__all_channel__E24,32,59,"[0, 1, 4, 8, 9, 14, 18, 20, 25, 30, 33, 34, 35, 37, 40, 43, 45, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58]",29,False,2.0701214932143264e-05,-5.199752946965665e-07,7.073730075613277e-06
E117,89,89,79,10,738,0.8876404494382022,0.0966952264381885,0.17439293598233996,raja,S23/S36_20190125_040931,all_channel,median,median__all_channel__E117,32,59,"[0, 1, 4, 8, 9, 14, 18, 20, 25, 30, 33, 34, 35, 37, 40, 43, 45, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58]",29,False,2.1638266341375138e-05,-1.1498383950823344e-07,7.2510833936277905e-06
E122,111,111,71,40,746,0.6396396396396397,0.08690330477356181,0.15301724137931036,raja,S23/S36_20190125_040931,all_channel,median,median__all_channel__E122,32,59,"[0, 1, 4, 8, 9, 14, 18, 20, 25, 30, 33, 34, 35, 37, 40, 43, 45, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58]",29,False,2.4504071749445765e-05,-2.98090405826402e-08,8.177960263342802e-06
