dataset,selection,channel,center_method,n_sessions,raw_candidate_count,mapped_candidate_count,tp,fp,fn,n_valid,n_flagged,n_channels_used,blink_region_threshold,threshold_center,threshold_dispersion,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro,used_all_epochs
cao2018,all_channel,A1,median,58,8880.0,8880.0,1693.0,7187.0,83625.0,9187.0,4245.0,32.0,9.709002577424288e-06,-1.0814231350103329e-07,3.2723816303084406e-06,0.17337318910683247,0.02173643133156504,0.03652325492970434,0.19065315315315315,0.019843409362619847,0.035945561476889105,False
cao2018,all_channel,A2,median,58,8960.0,8960.0,2366.0,6594.0,82952.0,9187.0,4245.0,32.0,9.925379598110285e-06,1.0805814045850361e-07,3.2724404858839267e-06,0.2095035573344272,0.02716287042672208,0.0455227868038714,0.2640625,0.0277315455120842,0.05019198540486646,False
cao2018,all_channel,C3,median,58,26419.0,26419.0,20153.0,6266.0,65165.0,9187.0,4245.0,32.0,3.009883992036217e-05,-7.581126996621611e-07,1.0285650873341442e-05,0.5954036174816898,0.2434233174449535,0.3108424674211114,0.7628222112873311,0.23621041280855154,0.3607220526772689,False
cao2018,all_channel,C4,median,58,26318.0,26318.0,19488.0,6830.0,65830.0,9187.0,4245.0,32.0,3.0553330420928496e-05,-7.189661791959107e-07,1.0424098866708137e-05,0.5791878408848381,0.23353201731665613,0.301774636131728,0.7404817995288395,0.2284160435078178,0.34913468773513917,False
cao2018,all_channel,CP3,median,58,15187.0,15187.0,10601.0,4586.0,74717.0,9187.0,4245.0,32.0,2.6810992585692552e-05,-4.4184128222983734e-07,9.08427795597413e-06,0.4822490315957432,0.12681423957584628,0.17835661713257137,0.6980312109040627,0.12425279542417778,0.21095467887169791,False
cao2018,all_channel,CP4,median,58,17142.0,17142.0,12056.0,5086.0,73262.0,9187.0,4245.0,32.0,2.7874593376291253e-05,-4.796480587472896e-07,9.451413811679514e-06,0.491792465756263,0.13957804036816662,0.19558146749029887,0.7033018317582546,0.14130664103706134,0.23533086082373605,False
cao2018,all_channel,CPZ,median,58,13803.0,13803.0,9030.0,4773.0,76288.0,9187.0,4245.0,32.0,2.8899227714462503e-05,-4.461097768782216e-07,9.78177916378024e-06,0.4359844889063975,0.10300568611039526,0.14912140985337302,0.6542056074766355,0.10583933050470007,0.18220155163890597,False
cao2018,all_channel,CZ,median,58,21067.0,21067.0,14965.0,6102.0,70353.0,9187.0,4245.0,32.0,3.233987625141692e-05,-6.520225732297307e-07,1.0997299608215551e-05,0.5114121297434064,0.1737043127652194,0.23104986395545854,0.71035268429297,0.17540261140673716,0.28133665460356255,False
cao2018,all_channel,F3,median,58,57213.0,57213.0,46307.0,10906.0,39011.0,9187.0,4245.0,32.0,3.929084068128791e-05,-1.708058620003517e-06,1.366629976709714e-05,0.7264291427119212,0.5494749890598574,0.5951122182988036,0.8093789872930978,0.5427576830211679,0.6497814510527535,False
cao2018,all_channel,F4,median,58,56491.0,56491.0,44995.0,11496.0,40323.0,9187.0,4245.0,32.0,4.1496882551511104e-05,-1.7684418843131752e-06,1.4421774811941426e-05,0.717029521283007,0.5315354288833666,0.5798771334910845,0.796498557292312,0.5273799198293443,0.6345859571677397,False
cao2018,all_channel,F7,median,58,59581.0,59581.0,46985.0,12596.0,38333.0,9187.0,4245.0,32.0,3.941097597794299e-05,-1.7757859632167168e-06,1.3728920647053235e-05,0.7086440330198317,0.5709425673506499,0.6027535242106186,0.7885903224182206,0.5507044234510888,0.6485206937245944,False
cao2018,all_channel,F8,median,58,58546.0,58546.0,45126.0,13420.0,40192.0,9187.0,4245.0,32.0,3.9585749896465536e-05,-1.5624296339577373e-06,1.3716059843474423e-05,0.708267876372171,0.556885919427368,0.5971273054509225,0.7707785331192567,0.5289153519773084,0.6273424901295669,False
cao2018,all_channel,FC3,median,58,39295.0,39295.0,31396.0,7899.0,53922.0,9187.0,4245.0,32.0,3.40966952368497e-05,-1.1782597510148265e-06,1.1758318329288175e-05,0.6684614385859656,0.37336159984725453,0.4413221505817853,0.7989820587861051,0.3679879978433625,0.5038960622085978,False
cao2018,all_channel,FC4,median,58,36993.0,36993.0,28547.0,8446.0,56771.0,9187.0,4245.0,32.0,3.415645219524319e-05,-1.0324961812110225e-06,1.172964945881807e-05,0.6467288117592271,0.34414850874185565,0.40988891183285914,0.7716865352904604,0.3345952788391664,0.46679366532854766,False
cao2018,all_channel,FCZ,median,58,35770.0,35770.0,28015.0,7755.0,57303.0,9187.0,4245.0,32.0,3.600404293126863e-05,-1.0498668202123116e-06,1.2351303250493648e-05,0.6332624347787795,0.3227859032085163,0.389154434722279,0.7831982107911658,0.3283597833985794,0.46272132663847787,False
cao2018,all_channel,FP1,median,58,98266.0,98266.0,76494.0,21772.0,8824.0,9187.0,4245.0,32.0,6.0017634113001296e-05,-4.316058499901793e-06,2.144456420430103e-05,0.7400853917715696,0.905403732130872,0.7967935529219164,0.7784381169478761,0.8965751658501137,0.8333405961303817,False
cao2018,all_channel,FP2,median,58,95679.0,95679.0,74502.0,21177.0,10816.0,9187.0,4245.0,32.0,6.135495692433035e-05,-4.233210143096107e-06,2.1862722355808817e-05,0.7377892834568832,0.8793526251066184,0.7844978733014564,0.7786661649891826,0.8732272205161865,0.8232401642016165,False
cao2018,all_channel,FT7,median,58,36136.0,36136.0,27203.0,8933.0,58115.0,9187.0,4245.0,32.0,2.9452813119277756e-05,-7.877909185425135e-07,1.0080201345940089e-05,0.6211463048681019,0.33568491256144073,0.40758389925323263,0.7527949966792119,0.31884244825242036,0.44795560459103856,False
cao2018,all_channel,FT8,median,58,38290.0,38290.0,28076.0,10214.0,57242.0,9187.0,4245.0,32.0,3.058218889421062e-05,-8.113085548964761e-07,1.0464499149702367e-05,0.6433411964472465,0.34383396114792764,0.4162724693632651,0.7332462784016714,0.3290747556201505,0.4542748042197916,False
cao2018,all_channel,FZ,median,58,61023.0,61023.0,49737.0,11286.0,35581.0,9187.0,4245.0,32.0,3.9981696444135444e-05,-1.7829302868568254e-06,1.3921542243664091e-05,0.7272735179548798,0.5557792470224365,0.5969816997071578,0.8150533405437295,0.582960219414426,0.6797411525136495,False
cao2018,all_channel,O1,median,58,5892.0,5892.0,1301.0,4591.0,84017.0,9187.0,4245.0,32.0,2.105532792865985e-05,9.938854343226347e-09,7.015129691438874e-06,0.22719208394566184,0.01838826022861405,0.03100067205054838,0.22080787508486083,0.015248833774818912,0.02852757373095055,False
cao2018,all_channel,O2,median,58,5466.0,5466.0,1387.0,4079.0,83931.0,9187.0,4245.0,32.0,2.107867483461631e-05,-2.7363120698252447e-08,7.035345985104853e-06,0.25643605342194226,0.019234102628276812,0.0332888102516231,0.25375045737285035,0.0162568273986732,0.03055604511808248,False
cao2018,all_channel,OZ,median,58,5355.0,5355.0,1203.0,4152.0,84115.0,9187.0,4245.0,32.0,2.048156495335591e-05,-2.9544786983406958e-08,6.837036580113105e-06,0.22470610346854059,0.016034617515736944,0.028110068222551243,0.2246498599439776,0.01410018987786868,0.02653491116429367,False
cao2018,all_channel,P3,median,58,11572.0,11572.0,7104.0,4468.0,78214.0,9187.0,4245.0,32.0,2.5230201446376013e-05,-3.206674589277486e-07,8.516956301767921e-06,0.42477604685080667,0.08468094091354642,0.12803418008733378,0.6138956100933287,0.08326496167280058,0.14664052017752088,False
cao2018,all_channel,P4,median,58,11379.0,11379.0,7189.0,4190.0,78129.0,9187.0,4245.0,32.0,2.5794308151357937e-05,-3.1866696468206574e-07,8.70432503868e-06,0.4288440085770194,0.08314391702428232,0.12674172185462718,0.6317778363652342,0.08426123444056353,0.14869127273855445,False
cao2018,all_channel,PZ,median,58,9050.0,9050.0,5193.0,3857.0,80125.0,9187.0,4245.0,32.0,2.6876969020541554e-05,-2.93290782026489e-07,9.056753267522682e-06,0.388555951589305,0.061970527272014506,0.09799188382574359,0.5738121546961326,0.06086640568227103,0.11005849440488302,False
cao2018,all_channel,T3,median,58,24808.0,24808.0,16081.0,8727.0,69237.0,9187.0,4245.0,32.0,2.5529124314407874e-05,-4.4914045099392636e-07,8.659421588467266e-06,0.5241663315325339,0.18845491290851807,0.2558015570706136,0.6482183166720413,0.18848308680466022,0.29204729128452867,False
cao2018,all_channel,T4,median,58,23302.0,23302.0,13757.0,9545.0,71561.0,9187.0,4245.0,32.0,2.5485836994284917e-05,-3.5133201475760285e-07,8.61238966968084e-06,0.5351355099369759,0.16697715467154187,0.23633211780786922,0.5903785082825509,0.16124381724841183,0.2533051003498435,False
cao2018,all_channel,T5,median,58,9563.0,9563.0,4664.0,4899.0,80654.0,9187.0,4245.0,32.0,1.9494326859457825e-05,-1.257216395962282e-07,6.5400161663513514e-06,0.3538933161548861,0.05979274886657335,0.09258170290244637,0.4877130607549932,0.05466607280995804,0.09831262318061572,False
cao2018,all_channel,T6,median,58,9382.0,9382.0,4462.0,4920.0,80856.0,9187.0,4245.0,32.0,2.0075709990529344e-05,-7.82313118242225e-08,6.717980434117857e-06,0.3512686316439241,0.05212232454449098,0.08302975009993971,0.47559155830313365,0.0522984598795096,0.09423442449841606,False
cao2018,all_channel,TP7,median,58,15085.0,15085.0,7556.0,7529.0,77762.0,9187.0,4245.0,32.0,2.0569483205735792e-05,-2.0869146916531564e-07,6.926058224967036e-06,0.4102355655520682,0.0911922754088376,0.13520148609071558,0.5008949287371561,0.08856278862608125,0.15051343087357946,False
cao2018,all_channel,TP8,median,58,14847.0,14847.0,8532.0,6315.0,76786.0,9187.0,4245.0,32.0,2.1132317543440717e-05,-1.9395222971133424e-07,7.108756591050685e-06,0.4481354549223778,0.09817052775471113,0.14865646704997634,0.5746615477874318,0.10000234417121827,0.1703589078021265,False
cao2018,all_channel,A1,mean,58,8545.0,8545.0,1648.0,6897.0,83670.0,9187.0,4245.0,32.0,9.816793546256111e-06,-3.513446692100045e-10,3.2723816303084406e-06,0.17343354671484693,0.021052088309521284,0.0356110334755755,0.19286132241076653,0.019315970838510044,0.03511500804363807,False
cao2018,all_channel,A2,mean,58,9161.0,9161.0,2390.0,6771.0,82928.0,9187.0,4245.0,32.0,9.817669979846581e-06,3.485221948013439e-10,3.2724404858839267e-06,0.20875285285864417,0.027506311746814387,0.04607709103929373,0.26088854928501254,0.028012846058276097,0.05059325352723886,False
cao2018,all_channel,C3,mean,58,24061.0,24061.0,18186.0,5875.0,67132.0,9187.0,4245.0,32.0,3.085929447538703e-05,2.3418553626985113e-09,1.0285650873341442e-05,0.5927487318843633,0.2242190367538851,0.29274250711441313,0.7558289347907402,0.21315548887690758,0.3325318388356083,False
cao2018,all_channel,C4,mean,58,23947.0,23947.0,17559.0,6388.0,67759.0,9187.0,4245.0,32.0,3.1274909029840976e-05,2.6124297165629825e-09,1.0424098866708137e-05,0.5764356167018658,0.21478875649761753,0.2842263834076081,0.7332442477137011,0.20580651210764433,0.3214020958220839,False
cao2018,all_channel,CP3,mean,58,13762.0,13762.0,9388.0,4374.0,75930.0,9187.0,4245.0,32.0,2.7254705856351298e-05,1.8719884289062907e-09,9.08427795597413e-06,0.47802700803466924,0.11507028086165642,0.16519620858597617,0.6821682894928063,0.11003539698539581,0.18950343157044813,False
cao2018,all_channel,CP4,mean,58,15607.0,15607.0,10791.0,4816.0,74527.0,9187.0,4245.0,32.0,2.8355557719255495e-05,1.316284216952815e-09,9.451413811679514e-06,0.49180961082453417,0.12766386008075328,0.18261423483386113,0.6914205164349331,0.12647975808153028,0.21384196185286103,False
cao2018,all_channel,CPZ,mean,58,12560.0,12560.0,7995.0,4565.0,77323.0,9187.0,4245.0,32.0,2.9347404372746343e-05,2.0668814056165066e-09,9.78177916378024e-06,0.43335453357253134,0.09288166727392834,0.13708118000989586,0.6365445859872612,0.09370824445017464,0.16336664010298535,False
cao2018,all_channel,CZ,mean,58,19034.0,19034.0,13330.0,5704.0,71988.0,9187.0,4245.0,32.0,3.2994519519363696e-05,2.620694717040492e-09,1.0997299608215551e-05,0.5104776946594737,0.15816797714984693,0.21531286744287226,0.7003257328990228,0.1562390116974144,0.2554814474087703,False
cao2018,all_channel,F3,mean,58,53179.0,53179.0,43283.0,9896.0,42035.0,9187.0,4245.0,32.0,4.1005677795659725e-05,6.778494368299308e-09,1.366629976709714e-05,0.7298757076838611,0.5215100094712564,0.5750597774872591,0.8139115064217078,0.5073138142009892,0.6250388095048991,False
cao2018,all_channel,F4,mean,58,52617.0,52617.0,42148.0,10469.0,43170.0,9187.0,4245.0,32.0,4.325955936339828e-05,-5.765072425996034e-09,1.4421774811941426e-05,0.72173330739471,0.5055585902324365,0.5613632639010685,0.8010338863865291,0.4940106425373309,0.6111284300576358,False
cao2018,all_channel,F7,mean,58,55493.0,55493.0,44019.0,11474.0,41299.0,9187.0,4245.0,32.0,4.1189202287281545e-05,2.4403461218383384e-09,1.3728920647053235e-05,0.7134001108837477,0.5427285081527101,0.5845072812912021,0.7932351828158506,0.5159403642842073,0.6252210409698106,False
cao2018,all_channel,F8,mean,58,54339.0,54339.0,41976.0,12363.0,43342.0,9187.0,4245.0,32.0,4.1156388066528805e-05,8.208536105533678e-09,1.3716059843474423e-05,0.7132481107688483,0.5273994072591134,0.5775633898663463,0.7724838513774637,0.49199465528962233,0.6011299111394344,False
cao2018,all_channel,FC3,mean,58,36284.0,36284.0,29074.0,7210.0,56244.0,9187.0,4245.0,32.0,3.527800231945335e-05,3.047331588821821e-09,1.1758318329288175e-05,0.6699320110479512,0.35030569817364365,0.4222736230310202,0.8012898247161283,0.34077216999929677,0.47818292462295026,False
cao2018,all_channel,FC4,mean,58,34194.0,34194.0,26392.0,7802.0,58926.0,9187.0,4245.0,32.0,3.51923121789721e-05,3.3638025178886595e-09,1.172964945881807e-05,0.6474359257003781,0.32336271534721617,0.39235541848402955,0.7718313154354565,0.3093368339623526,0.44166276189838677,False
cao2018,all_channel,FCZ,mean,58,32804.0,32804.0,25679.0,7125.0,59639.0,9187.0,4245.0,32.0,3.705625147226727e-05,2.3417207863241993e-09,1.2351303250493648e-05,0.6338146602882959,0.30080132760474754,0.3708102505838076,0.7828008779417144,0.3009798635692351,0.4347877618055908,False
cao2018,all_channel,FP1,mean,58,93912.0,93912.0,74091.0,19821.0,11227.0,9187.0,4245.0,32.0,6.434687381402599e-05,1.31812011228977e-08,2.144456420430103e-05,0.7529454830919936,0.8857693553066166,0.7938676599451441,0.7889407104523384,0.8684099486626503,0.8267700719745579,False
cao2018,all_channel,FP2,mean,58,91152.0,91152.0,71828.0,19324.0,13490.0,9187.0,4245.0,32.0,6.561007768338883e-05,2.191061596237082e-08,2.1862722355808817e-05,0.7505699084347176,0.8579807486062907,0.7801484148930433,0.7880024574337371,0.841885651327973,0.8140533801779339,False
cao2018,all_channel,FT7,mean,58,33554.0,33554.0,25212.0,8342.0,60106.0,9187.0,4245.0,32.0,3.0239107649752813e-05,-1.4963880674536098e-09,1.0080201345940089e-05,0.6232927480461881,0.31567370218896795,0.39116576776859896,0.7513858258329856,0.2955062237745845,0.4241873611952352,False
cao2018,all_channel,FT8,mean,58,35948.0,35948.0,26285.0,9663.0,59033.0,9187.0,4245.0,32.0,3.139565841519157e-05,2.1609660844675596e-09,1.0464499149702367e-05,0.6459429663995018,0.32582702857355805,0.4016735386336768,0.7311950595304328,0.30808270236058044,0.4335098048917257,False
cao2018,all_channel,FZ,mean,58,56864.0,56864.0,46701.0,10163.0,38617.0,9187.0,4245.0,32.0,4.176701860068521e-05,2.391869692935661e-09,1.3921542243664091e-05,0.7329584269470916,0.5283618904523845,0.5787232129473985,0.8212753235790659,0.5473757003211515,0.6569185972907964,False
