channel,raw_candidate_count,mapped_candidate_count,tp,fp,fn,precision,recall,f1,dataset,session,selection,center_method,condition,n_channels_used,n_valid,flagged_valid_epoch_indices,n_flagged,used_all_epochs,blink_region_threshold,threshold_center,threshold_dispersion
FP2,1997,1997,1695,302,42,0.8487731597396094,0.9758203799654577,0.9078735940010713,cao2018,S23/060711_1m,all_channel,median,median__all_channel__FP2,32,140,"[1, 4, 5, 6, 8, 11, 16, 17, 22, 23, 24, 25, 27, 28, 34, 39, 45, 51, 53, 54, 56, 57, 58, 59, 60, 61, 65, 69, 76, 79, 80, 81, 84, 92, 98, 99, 113, 125, 126, 137, 139]",41,False,6.161845818261168e-05,-6.350566595185012e-06,2.2656341592598898e-05
FP1,2037,2037,1710,327,27,0.8394698085419735,0.9844559585492227,0.9062003179650238,cao2018,S23/060711_1m,all_channel,median,median__all_channel__FP1,32,140,"[1, 4, 5, 6, 8, 11, 16, 17, 22, 23, 24, 25, 27, 28, 34, 39, 45, 51, 53, 54, 56, 57, 58, 59, 60, 61, 65, 69, 76, 79, 80, 81, 84, 92, 98, 99, 113, 125, 126, 137, 139]",41,False,5.97551606038003e-05,-6.184438783393844e-06,2.1979866462398047e-05
F7,1861,1861,1545,316,192,0.830198817839871,0.8894645941278065,0.858810450250139,cao2018,S23/060711_1m,all_channel,median,median__all_channel__F7,32,140,"[1, 4, 5, 6, 8, 11, 16, 17, 22, 23, 24, 25, 27, 28, 34, 39, 45, 51, 53, 54, 56, 57, 58, 59, 60, 61, 65, 69, 76, 79, 80, 81, 84, 92, 98, 99, 113, 125, 126, 137, 139]",41,False,3.3841156979760296e-05,-2.2487824330751213e-06,1.2029979804278472e-05
FZ,1805,1805,1501,304,236,0.8315789473684211,0.8641335636154289,0.8475437605872389,cao2018,S23/060711_1m,all_channel,median,median__all_channel__FZ,32,140,"[1, 4, 5, 6, 8, 11, 16, 17, 22, 23, 24, 25, 27, 28, 34, 39, 45, 51, 53, 54, 56, 57, 58, 59, 60, 61, 65, 69, 76, 79, 80, 81, 84, 92, 98, 99, 113, 125, 126, 137, 139]",41,False,3.446810032866831e-05,-2.4291950765601902e-06,1.22990984684095e-05
F8,1712,1712,1441,271,296,0.8417056074766355,0.8295912492803684,0.8356045230501595,cao2018,S23/060711_1m,all_channel,median,median__all_channel__F8,32,140,"[1, 4, 5, 6, 8, 11, 16, 17, 22, 23, 24, 25, 27, 28, 34, 39, 45, 51, 53, 54, 56, 57, 58, 59, 60, 61, 65, 69, 76, 79, 80, 81, 84, 92, 98, 99, 113, 125, 126, 137, 139]",41,False,3.10662320543232e-05,-1.9659052242103793e-06,1.1010712426177862e-05
F3,1707,1707,1406,301,331,0.8236672524897481,0.8094415659182499,0.8164924506387922,cao2018,S23/060711_1m,all_channel,median,median__all_channel__F3,32,140,"[1, 4, 5, 6, 8, 11, 16, 17, 22, 23, 24, 25, 27, 28, 34, 39, 45, 51, 53, 54, 56, 57, 58, 59, 60, 61, 65, 69, 76, 79, 80, 81, 84, 92, 98, 99, 113, 125, 126, 137, 139]",41,False,3.932747311838379e-05,-2.560878751682123e-06,1.3962783956688638e-05
F4,1481,1481,1210,271,527,0.8170155300472653,0.6966033390903857,0.7520198881292728,cao2018,S23/060711_1m,all_channel,median,median__all_channel__F4,32,140,"[1, 4, 5, 6, 8, 11, 16, 17, 22, 23, 24, 25, 27, 28, 34, 39, 45, 51, 53, 54, 56, 57, 58, 59, 60, 61, 65, 69, 76, 79, 80, 81, 84, 92, 98, 99, 113, 125, 126, 137, 139]",41,False,3.91921141930078e-05,-2.0945011198282165e-06,1.3762205104278672e-05
FC3,1267,1267,1004,263,733,0.7924230465666929,0.5780080598733448,0.6684420772303595,cao2018,S23/060711_1m,all_channel,median,median__all_channel__FC3,32,140,"[1, 4, 5, 6, 8, 11, 16, 17, 22, 23, 24, 25, 27, 28, 34, 39, 45, 51, 53, 54, 56, 57, 58, 59, 60, 61, 65, 69, 76, 79, 80, 81, 84, 92, 98, 99, 113, 125, 126, 137, 139]",41,False,2.8907874988984394e-05,-1.4798292415089265e-06,1.0129234743497773e-05
FT7,1183,1183,917,266,820,0.7751479289940828,0.5279217040875072,0.6280821917808218,cao2018,S23/060711_1m,all_channel,median,median__all_channel__FT7,32,140,"[1, 4, 5, 6, 8, 11, 16, 17, 22, 23, 24, 25, 27, 28, 34, 39, 45, 51, 53, 54, 56, 57, 58, 59, 60, 61, 65, 69, 76, 79, 80, 81, 84, 92, 98, 99, 113, 125, 126, 137, 139]",41,False,2.49860112964986e-05,-1.047826193633094e-06,8.677945830043897e-06
FCZ,1107,1107,867,240,870,0.7831978319783198,0.4991364421416235,0.6097046413502111,cao2018,S23/060711_1m,all_channel,median,median__all_channel__FCZ,32,140,"[1, 4, 5, 6, 8, 11, 16, 17, 22, 23, 24, 25, 27, 28, 34, 39, 45, 51, 53, 54, 56, 57, 58, 59, 60, 61, 65, 69, 76, 79, 80, 81, 84, 92, 98, 99, 113, 125, 126, 137, 139]",41,False,3.1223915722741296e-05,-1.4979412436769406e-06,1.0907285655472745e-05
FC4,1011,1011,800,211,937,0.7912957467853611,0.4605641911341393,0.5822416302765648,cao2018,S23/060711_1m,all_channel,median,median__all_channel__FC4,32,140,"[1, 4, 5, 6, 8, 11, 16, 17, 22, 23, 24, 25, 27, 28, 34, 39, 45, 51, 53, 54, 56, 57, 58, 59, 60, 61, 65, 69, 76, 79, 80, 81, 84, 92, 98, 99, 113, 125, 126, 137, 139]",41,False,2.9605462639180748e-05,-1.3375902950633368e-06,1.0314350978081362e-05
FT8,902,902,695,207,1042,0.770509977827051,0.40011514104778356,0.526714664645699,cao2018,S23/060711_1m,all_channel,median,median__all_channel__FT8,32,140,"[1, 4, 5, 6, 8, 11, 16, 17, 22, 23, 24, 25, 27, 28, 34, 39, 45, 51, 53, 54, 56, 57, 58, 59, 60, 61, 65, 69, 76, 79, 80, 81, 84, 92, 98, 99, 113, 125, 126, 137, 139]",41,False,2.2641477647709456e-05,-8.954511954822767e-07,7.845642947730577e-06
C3,679,679,493,186,1244,0.7260677466863034,0.28382268278641337,0.408112582781457,cao2018,S23/060711_1m,all_channel,median,median__all_channel__C3,32,140,"[1, 4, 5, 6, 8, 11, 16, 17, 22, 23, 24, 25, 27, 28, 34, 39, 45, 51, 53, 54, 56, 57, 58, 59, 60, 61, 65, 69, 76, 79, 80, 81, 84, 92, 98, 99, 113, 125, 126, 137, 139]",41,False,2.482180871286578e-05,-9.438139664680716e-07,8.588540893111284e-06
CZ,501,501,360,141,1377,0.718562874251497,0.20725388601036268,0.32171581769436997,cao2018,S23/060711_1m,all_channel,median,median__all_channel__CZ,32,140,"[1, 4, 5, 6, 8, 11, 16, 17, 22, 23, 24, 25, 27, 28, 34, 39, 45, 51, 53, 54, 56, 57, 58, 59, 60, 61, 65, 69, 76, 79, 80, 81, 84, 92, 98, 99, 113, 125, 126, 137, 139]",41,False,2.7986846378600417e-05,-9.011303072181712e-07,9.629325561939529e-06
C4,470,470,338,132,1399,0.7191489361702128,0.19458837075417387,0.3062981422745809,cao2018,S23/060711_1m,all_channel,median,median__all_channel__C4,32,140,"[1, 4, 5, 6, 8, 11, 16, 17, 22, 23, 24, 25, 27, 28, 34, 39, 45, 51, 53, 54, 56, 57, 58, 59, 60, 61, 65, 69, 76, 79, 80, 81, 84, 92, 98, 99, 113, 125, 126, 137, 139]",41,False,2.6272695830859656e-05,-8.182823616861382e-07,9.030326064181931e-06
T3,476,476,315,161,1422,0.6617647058823529,0.18134715025906736,0.28468142792589246,cao2018,S23/060711_1m,all_channel,median,median__all_channel__T3,32,140,"[1, 4, 5, 6, 8, 11, 16, 17, 22, 23, 24, 25, 27, 28, 34, 39, 45, 51, 53, 54, 56, 57, 58, 59, 60, 61, 65, 69, 76, 79, 80, 81, 84, 92, 98, 99, 113, 125, 126, 137, 139]",41,False,1.915989266289188e-05,-4.421593313376078e-07,6.534017331409829e-06
T4,384,384,239,145,1498,0.6223958333333334,0.13759355210132412,0.22536539368222533,cao2018,S23/060711_1m,all_channel,median,median__all_channel__T4,32,140,"[1, 4, 5, 6, 8, 11, 16, 17, 22, 23, 24, 25, 27, 28, 34, 39, 45, 51, 53, 54, 56, 57, 58, 59, 60, 61, 65, 69, 76, 79, 80, 81, 84, 92, 98, 99, 113, 125, 126, 137, 139]",41,False,1.904986796230932e-05,-4.3568544804431386e-07,6.495184470117877e-06
