channel,raw_candidate_count,mapped_candidate_count,tp,fp,fn,precision,recall,f1,dataset,session,selection,center_method,condition,n_channels_used,n_valid,flagged_valid_epoch_indices,n_flagged,used_all_epochs,blink_region_threshold,threshold_center,threshold_dispersion
F3,325,325,194,131,70,0.5969230769230769,0.7348484848484849,0.6587436332767402,cao2018,S54/081226m,all_channel,median,median__all_channel__F3,32,82,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 15, 16, 18, 21, 22, 42, 47, 51, 63, 66, 67, 68, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81]",36,False,3.329352043118235e-05,-1.0122487652242638e-06,1.1435256398802204e-05
F7,430,430,224,206,40,0.5209302325581395,0.8484848484848485,0.6455331412103748,cao2018,S54/081226m,all_channel,median,median__all_channel__F7,32,82,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 15, 16, 18, 21, 22, 42, 47, 51, 63, 66, 67, 68, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81]",36,False,3.28253809780675e-05,-1.12802233779285e-06,1.1317801105286783e-05
FZ,293,293,173,120,91,0.590443686006826,0.6553030303030303,0.6211849192100538,cao2018,S54/081226m,all_channel,median,median__all_channel__FZ,32,82,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 15, 16, 18, 21, 22, 42, 47, 51, 63, 66, 67, 68, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81]",36,False,3.568383832132512e-05,-1.0183266090813723e-06,1.2234054976802164e-05
F4,335,335,183,152,81,0.5462686567164179,0.6931818181818182,0.6110183639398999,cao2018,S54/081226m,all_channel,median,median__all_channel__F4,32,82,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 15, 16, 18, 21, 22, 42, 47, 51, 63, 66, 67, 68, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81]",36,False,3.338109182302045e-05,-9.900418684638713e-07,1.1457044563828107e-05
F8,528,528,233,295,31,0.4412878787878788,0.8825757575757576,0.5883838383838385,cao2018,S54/081226m,all_channel,median,median__all_channel__F8,32,82,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 15, 16, 18, 21, 22, 42, 47, 51, 63, 66, 67, 68, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81]",36,False,3.085674601092387e-05,-1.0962552116621132e-06,1.065100040752866e-05
FC3,195,195,128,67,136,0.6564102564102564,0.48484848484848486,0.5577342047930284,cao2018,S54/081226m,all_channel,median,median__all_channel__FC3,32,82,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 15, 16, 18, 21, 22, 42, 47, 51, 63, 66, 67, 68, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81]",36,False,3.0752904006032066e-05,-8.08144238108706e-07,1.052034941471359e-05
FT7,185,185,121,64,143,0.654054054054054,0.4583333333333333,0.5389755011135858,cao2018,S54/081226m,all_channel,median,median__all_channel__FT7,32,82,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 15, 16, 18, 21, 22, 42, 47, 51, 63, 66, 67, 68, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81]",36,False,2.5844473152078168e-05,-4.3706755459320386e-07,8.760513568890457e-06
FP1,698,698,257,441,7,0.3681948424068768,0.9734848484848485,0.5343035343035343,cao2018,S54/081226m,all_channel,median,median__all_channel__FP1,32,82,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 15, 16, 18, 21, 22, 42, 47, 51, 63, 66, 67, 68, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81]",36,False,4.753800256746319e-05,-1.9167333942444245e-06,1.648491198723587e-05
FP2,744,744,258,486,6,0.3467741935483871,0.9772727272727273,0.5119047619047619,cao2018,S54/081226m,all_channel,median,median__all_channel__FP2,32,82,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 15, 16, 18, 21, 22, 42, 47, 51, 63, 66, 67, 68, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81]",36,False,4.7979857864368615e-05,-1.792148417025807e-06,1.6590668760464807e-05
FC4,173,173,111,62,153,0.6416184971098265,0.42045454545454547,0.5080091533180777,cao2018,S54/081226m,all_channel,median,median__all_channel__FC4,32,82,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 15, 16, 18, 21, 22, 42, 47, 51, 63, 66, 67, 68, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81]",36,False,2.9827821787183825e-05,-6.896744773702428e-07,1.0172498754851355e-05
FCZ,156,156,106,50,158,0.6794871794871795,0.4015151515151515,0.5047619047619047,cao2018,S54/081226m,all_channel,median,median__all_channel__FCZ,32,82,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 15, 16, 18, 21, 22, 42, 47, 51, 63, 66, 67, 68, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81]",36,False,3.3548767242747794e-05,-7.727294581391365e-07,1.1440498900295642e-05
