channel,raw_candidate_count,mapped_candidate_count,tp,fp,fn,precision,recall,f1,dataset,session,selection,center_method,condition,n_channels_used,n_valid,flagged_valid_epoch_indices,n_flagged,used_all_epochs,blink_region_threshold,threshold_center,threshold_dispersion
E22,165,165,150,15,10,0.9090909090909091,0.9375,0.923076923076923,raja,S10/S23_20181226_042222,all_channel,median,median__all_channel__E22,32,59,"[0, 12, 19, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58]",37,False,2.7461078970574956e-05,-4.0363868622650104e-07,9.288239218933819e-06
E9,168,168,147,21,13,0.875,0.91875,0.896341463414634,raja,S10/S23_20181226_042222,all_channel,median,median__all_channel__E9,32,59,"[0, 12, 19, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58]",37,False,2.8997311813704838e-05,-3.9872186423494767e-07,9.798677892646595e-06
E3,92,92,83,9,77,0.9021739130434783,0.51875,0.6587301587301587,raja,S10/S23_20181226_042222,all_channel,median,median__all_channel__E3,32,59,"[0, 12, 19, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58]",37,False,2.6988819212300826e-05,-8.720311334743947e-08,9.025340775216087e-06
E23,71,71,64,7,96,0.9014084507042254,0.4,0.5541125541125541,raja,S10/S23_20181226_042222,all_channel,median,median__all_channel__E23,32,59,"[0, 12, 19, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58]",37,False,2.5538113512229383e-05,-3.211706090889955e-08,8.523410191046094e-06
E26,69,69,35,34,125,0.5072463768115942,0.21875,0.3056768558951965,raja,S10/S23_20181226_042222,all_channel,median,median__all_channel__E26,32,59,"[0, 12, 19, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58]",37,False,2.6762450944144224e-05,1.5986020702383428e-07,8.867530245706797e-06
E11,42,42,24,18,136,0.5714285714285714,0.15,0.23762376237623759,raja,S10/S23_20181226_042222,all_channel,median,median__all_channel__E11,32,59,"[0, 12, 19, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58]",37,False,2.618193790117511e-05,1.0951062973465948e-07,8.69080909048015e-06
E124,19,19,13,6,147,0.6842105263157895,0.08125,0.1452513966480447,raja,S10/S23_20181226_042222,all_channel,median,median__all_channel__E124,32,59,"[0, 12, 19, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58]",37,False,2.5019722212068627e-05,5.850718537159018e-08,8.320405008899012e-06
E28,192,192,7,185,153,0.036458333333333336,0.04375,0.03977272727272728,raja,S10/S23_20181226_042222,all_channel,median,median__all_channel__E28,32,59,"[0, 12, 19, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58]",37,False,9.114241179801003e-05,-3.737333112981993e-06,3.162658163699734e-05
E67,66,66,4,62,156,0.06060606060606061,0.025,0.03539823008849558,raja,S10/S23_20181226_042222,all_channel,median,median__all_channel__E67,32,59,"[0, 12, 19, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58]",37,False,2.5723596599301785e-05,-1.7417843422000838e-08,8.580338147574595e-06
E33,52,52,3,49,157,0.057692307692307696,0.01875,0.02830188679245283,raja,S10/S23_20181226_042222,all_channel,median,median__all_channel__E33,32,59,"[0, 12, 19, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58]",37,False,0.00011075290285409239,3.8797523023949917e-07,3.6788309207950965e-05
