channel,raw_candidate_count,mapped_candidate_count,tp,fp,fn,precision,recall,f1,dataset,session,selection,center_method,condition,n_channels_used,n_valid,flagged_valid_epoch_indices,n_flagged,used_all_epochs,blink_region_threshold,threshold_center,threshold_dispersion
E22,618,618,542,76,78,0.8770226537216829,0.8741935483870967,0.875605815831987,raja,S13/S26_20190108_035218_2,all_channel,median,median__all_channel__E22,32,59,"[1, 3, 5, 7, 9, 10, 11, 14, 15, 16, 20, 22, 23, 25, 29, 30, 31, 33, 41, 42, 44, 48, 50, 54, 56]",25,False,7.899381247737544e-05,-5.392794721653801e-06,2.8128869066343083e-05
E9,583,583,504,79,116,0.8644939965694682,0.8129032258064516,0.8379052369077307,raja,S13/S26_20190108_035218_2,all_channel,median,median__all_channel__E9,32,59,"[1, 3, 5, 7, 9, 10, 11, 14, 15, 16, 20, 22, 23, 25, 29, 30, 31, 33, 41, 42, 44, 48, 50, 54, 56]",25,False,7.124012523451349e-05,-3.865845252502049e-06,2.503532349567185e-05
E23,578,578,501,77,119,0.8667820069204152,0.8080645161290323,0.8363939899833055,raja,S13/S26_20190108_035218_2,all_channel,median,median__all_channel__E23,32,59,"[1, 3, 5, 7, 9, 10, 11, 14, 15, 16, 20, 22, 23, 25, 29, 30, 31, 33, 41, 42, 44, 48, 50, 54, 56]",25,False,5.591753536465604e-05,-3.416032510227788e-06,1.977785595829461e-05
E11,528,528,460,68,160,0.8712121212121212,0.7419354838709677,0.8013937282229965,raja,S13/S26_20190108_035218_2,all_channel,median,median__all_channel__E11,32,59,"[1, 3, 5, 7, 9, 10, 11, 14, 15, 16, 20, 22, 23, 25, 29, 30, 31, 33, 41, 42, 44, 48, 50, 54, 56]",25,False,3.3868337152547005e-05,-1.6772070935837522e-06,1.1848514748710252e-05
E26,661,661,506,155,114,0.7655068078668684,0.8161290322580645,0.790007806401249,raja,S13/S26_20190108_035218_2,all_channel,median,median__all_channel__E26,32,59,"[1, 3, 5, 7, 9, 10, 11, 14, 15, 16, 20, 22, 23, 25, 29, 30, 31, 33, 41, 42, 44, 48, 50, 54, 56]",25,False,6.218824954277236e-05,-3.5985132290273032e-06,2.192892092393322e-05
E24,483,483,423,60,197,0.8757763975155279,0.682258064516129,0.7669990933816863,raja,S13/S26_20190108_035218_2,all_channel,median,median__all_channel__E24,32,59,"[1, 3, 5, 7, 9, 10, 11, 14, 15, 16, 20, 22, 23, 25, 29, 30, 31, 33, 41, 42, 44, 48, 50, 54, 56]",25,False,3.4057514474693536e-05,-1.67891143258279e-06,1.1912141969092107e-05
E3,468,468,413,55,207,0.8824786324786325,0.6661290322580645,0.7591911764705882,raja,S13/S26_20190108_035218_2,all_channel,median,median__all_channel__E3,32,59,"[1, 3, 5, 7, 9, 10, 11, 14, 15, 16, 20, 22, 23, 25, 29, 30, 31, 33, 41, 42, 44, 48, 50, 54, 56]",25,False,4.15840198408291e-05,-1.8023369112241116e-06,1.446211891735107e-05
E124,271,271,231,40,389,0.8523985239852399,0.3725806451612903,0.5185185185185185,raja,S13/S26_20190108_035218_2,all_channel,median,median__all_channel__E124,32,59,"[1, 3, 5, 7, 9, 10, 11, 14, 15, 16, 20, 22, 23, 25, 29, 30, 31, 33, 41, 42, 44, 48, 50, 54, 56]",25,False,2.9083764812231466e-05,-7.550534640129636e-07,9.946272758748143e-06
E28,243,243,172,71,448,0.7078189300411523,0.27741935483870966,0.3986095017381228,raja,S13/S26_20190108_035218_2,all_channel,median,median__all_channel__E28,32,59,"[1, 3, 5, 7, 9, 10, 11, 14, 15, 16, 20, 22, 23, 25, 29, 30, 31, 33, 41, 42, 44, 48, 50, 54, 56]",25,False,2.62258512558923e-05,-8.221169846118986e-07,9.0159894135014e-06
E33,374,374,105,269,515,0.2807486631016043,0.1693548387096774,0.21126760563380284,raja,S13/S26_20190108_035218_2,all_channel,median,median__all_channel__E33,32,59,"[1, 3, 5, 7, 9, 10, 11, 14, 15, 16, 20, 22, 23, 25, 29, 30, 31, 33, 41, 42, 44, 48, 50, 54, 56]",25,False,2.4295143256077808e-05,-5.674810955531479e-07,8.287541450543652e-06
