dataset,session,selection,condition,center_method,n_channels_used,best_channel,tp,fp,fn,precision,recall,f1
raja,S12/S25_20190124_060024_3,all_channel,BLINKER-concat,n/a,32,E23,470,76,19,0.8608058608058609,0.9611451942740287,0.9082125603864735
raja,S12/S25_20190124_060024_3,all_channel,MNE-annot,n/a,32,E22,468,13,21,0.972972972972973,0.9570552147239264,0.9649484536082474
raja,S12/S25_20190124_060024_3,all_channel,Proposed-Mean,mean,32,E9,468,22,21,0.9551020408163265,0.9570552147239264,0.9560776302349335
raja,S12/S25_20190124_060024_3,all_channel,Proposed-Med,median,32,E22,469,25,20,0.9493927125506073,0.9591002044989775,0.9542217700915564
raja,S1/S01_20170519_043933_3,all_channel,BLINKER-concat,n/a,32,E3,127,423,5,0.2309090909090909,0.9621212121212122,0.3724340175953079
raja,S1/S01_20170519_043933_3,all_channel,MNE-annot,n/a,32,E59,0,2,132,0.0,0.0,0.0
raja,S1/S01_20170519_043933_3,all_channel,Proposed-Mean,mean,32,E3,123,141,9,0.4659090909090909,0.9318181818181818,0.6212121212121211
raja,S1/S01_20170519_043933_3,all_channel,Proposed-Med,median,32,E3,123,142,9,0.4641509433962264,0.9318181818181818,0.6196473551637279
raja,S10/S23_20181226_042222_3,all_channel,BLINKER-concat,n/a,32,E22,236,318,9,0.4259927797833935,0.963265306122449,0.590738423028786
raja,S10/S23_20181226_042222_3,all_channel,MNE-annot,n/a,32,E67,6,36,239,0.14285714285714285,0.024489795918367346,0.04181184668989547
raja,S10/S23_20181226_042222_3,all_channel,Proposed-Mean,mean,32,E22,220,60,25,0.7857142857142857,0.8979591836734694,0.838095238095238
raja,S10/S23_20181226_042222_3,all_channel,Proposed-Med,median,32,E9,225,67,20,0.7705479452054794,0.9183673469387755,0.8379888268156425
raja,S13/S26_20190108_035218_3,all_channel,BLINKER-concat,n/a,32,E9,497,140,11,0.7802197802197802,0.9783464566929134,0.8681222707423581
raja,S13/S26_20190108_035218_3,all_channel,MNE-annot,n/a,32,E9,450,133,58,0.7718696397941681,0.8858267716535433,0.8249312557286892
raja,S13/S26_20190108_035218_3,all_channel,Proposed-Mean,mean,32,E22,442,100,66,0.8154981549815498,0.8700787401574803,0.8419047619047618
raja,S13/S26_20190108_035218_3,all_channel,Proposed-Med,median,32,E22,458,107,50,0.8106194690265487,0.9015748031496063,0.853681267474371
