dataset,session,selection,condition,center_method,n_channels_used,best_channel,tp,fp,fn,precision,recall,f1
cao2018,S01/051017m,all_channel,BLINKER-concat,n/a,32,FP1,405,1461,3,0.2170418006430868,0.9926470588235294,0.3562005277044855
cao2018,S01/051017m,all_channel,MNE-annot,n/a,32,F8,8,20,400,0.2857142857142857,0.0196078431372549,0.03669724770642201
cao2018,S01/051017m,all_channel,Proposed-Mean,mean,32,FP1,326,320,82,0.5046439628482973,0.7990196078431373,0.618595825426945
cao2018,S01/051017m,all_channel,Proposed-Med,median,32,FP1,331,335,77,0.496996996996997,0.8112745098039216,0.6163873370577281
cao2018,S01/060227n,all_channel,BLINKER-concat,n/a,32,FP1,617,1155,2,0.3481941309255079,0.9967689822294022,0.5161020493517356
cao2018,S01/060227n,all_channel,MNE-annot,n/a,32,FT8,10,65,609,0.13333333333333333,0.01615508885298869,0.02881844380403458
cao2018,S01/060227n,all_channel,Proposed-Mean,mean,32,FP1,477,233,142,0.671830985915493,0.7705977382875606,0.7178329571106095
cao2018,S01/060227n,all_channel,Proposed-Med,median,32,FP1,499,256,120,0.6609271523178808,0.8061389337641357,0.7263464337700146
cao2018,S09/060317n,all_channel,BLINKER-concat,n/a,32,FP1,975,375,1,0.7222222222222222,0.9989754098360656,0.8383490971625107
cao2018,S09/060317n,all_channel,MNE-annot,n/a,32,FP1,937,87,39,0.9150390625,0.9600409836065574,0.937
cao2018,S09/060317n,all_channel,Proposed-Mean,mean,32,FP1,965,107,11,0.9001865671641791,0.9887295081967213,0.9423828125
cao2018,S09/060317n,all_channel,Proposed-Med,median,32,FP1,968,125,8,0.8856358645928637,0.9918032786885246,0.9357177380376993
cao2018,S05/051120m,all_channel,BLINKER-concat,n/a,32,F3,685,932,99,0.4236239950525665,0.8737244897959183,0.5705955851728446
cao2018,S05/051120m,all_channel,MNE-annot,n/a,32,FP2,495,364,289,0.5762514551804424,0.6313775510204082,0.6025562994522216
cao2018,S05/051120m,all_channel,Proposed-Mean,mean,32,FP1,599,329,185,0.6454741379310345,0.764030612244898,0.6997663551401868
cao2018,S05/051120m,all_channel,Proposed-Med,median,32,FP1,623,362,161,0.63248730964467,0.7946428571428571,0.7043527416619559
cao2018,S04/051130m,all_channel,BLINKER-concat,n/a,32,F3,699,918,105,0.4322820037105751,0.8694029850746269,0.5774473358116481
cao2018,S04/051130m,all_channel,MNE-annot,n/a,32,FP2,503,356,301,0.5855646100116414,0.6256218905472637,0.6049308478653037
cao2018,S04/051130m,all_channel,Proposed-Mean,mean,32,FP1,603,325,201,0.6497844827586207,0.75,0.6963048498845267
