dataset,epoch_duration_s,selection,channel,center_method,n_sessions,precision,recall,f1
cao2018,10.0,all_channel,A1,mean,1,0.0,0.0,0.0
cao2018,10.0,all_channel,A1,mean,57,0.17781968648917693,0.02235939287876455,0.037652067611920595
cao2018,10.0,all_channel,A1,median,1,0.0,0.0,0.0
cao2018,10.0,all_channel,A1,median,57,0.17795298496125891,0.023361102495643903,0.03893783478948246
cao2018,10.0,all_channel,A2,mean,1,0.0,0.0,0.0
cao2018,10.0,all_channel,A2,mean,57,0.20790589136823814,0.02816272659491682,0.04710277892688109
cao2018,10.0,all_channel,A2,median,1,0.0,0.0,0.0
cao2018,10.0,all_channel,A2,median,57,0.20854125781376034,0.027804095524801162,0.046513174781857215
cao2018,10.0,all_channel,C3,mean,1,0.09561752988047809,0.057692307692307696,0.0719640179910045
cao2018,10.0,all_channel,C3,mean,57,0.6024570845729018,0.22832990932051164,0.29847168201124313
cao2018,10.0,all_channel,C3,median,1,0.09561752988047809,0.057692307692307696,0.0719640179910045
cao2018,10.0,all_channel,C3,median,57,0.6064920222464308,0.24778382227068194,0.31696297211704055
cao2018,10.0,all_channel,C4,mean,1,0.13157894736842105,0.10817307692307693,0.11873350923482849
cao2018,10.0,all_channel,C4,mean,57,0.5835800362418778,0.21478652121056946,0.2851770024148289
cao2018,10.0,all_channel,C4,median,1,0.13333333333333333,0.11057692307692307,0.12089356110381078
cao2018,10.0,all_channel,C4,median,57,0.5850327935693541,0.23366138340142434,0.30292559353547877
cao2018,10.0,all_channel,CP3,mean,1,0.09913793103448276,0.055288461538461536,0.07098765432098765
cao2018,10.0,all_channel,CP3,mean,57,0.483201057840968,0.1159716509366842,0.1672444883829943
cao2018,10.0,all_channel,CP3,median,1,0.09956709956709957,0.055288461538461536,0.07109737248840804
cao2018,10.0,all_channel,CP3,median,57,0.48722061211003714,0.12770009904164623,0.18025158933422203
cao2018,10.0,all_channel,CP4,mean,1,0.0981012658227848,0.07451923076923077,0.08469945355191257
cao2018,10.0,all_channel,CP4,mean,57,0.5003546912855678,0.129085072278028,0.18438921493280247
cao2018,10.0,all_channel,CP4,median,1,0.0981012658227848,0.07451923076923077,0.08469945355191257
cao2018,10.0,all_channel,CP4,median,57,0.5030058195655746,0.14130148281662921,0.1980546182129723
cao2018,10.0,all_channel,CPZ,mean,1,0.0755287009063444,0.06009615384615385,0.06693440428380187
cao2018,10.0,all_channel,CPZ,mean,57,0.4410241861900857,0.09336019894074535,0.1384607234122922
cao2018,10.0,all_channel,CPZ,median,1,0.07530120481927711,0.06009615384615385,0.06684491978609626
cao2018,10.0,all_channel,CPZ,median,57,0.44621916464575134,0.10391519562858721,0.15102523971455514
cao2018,10.0,all_channel,CZ,mean,1,0.07567567567567568,0.0673076923076923,0.0712468193384224
cao2018,10.0,all_channel,CZ,mean,57,0.5145226572705449,0.15828444801075675,0.2165374091897475
cao2018,10.0,all_channel,CZ,median,1,0.07816711590296496,0.06971153846153846,0.07369758576874207
cao2018,10.0,all_channel,CZ,median,57,0.5170081024575898,0.17421311519404584,0.2330863675142857
cao2018,10.0,all_channel,F3,mean,1,0.19672131147540983,0.14423076923076922,0.1664355062413315
cao2018,10.0,all_channel,F3,mean,57,0.7425016903697143,0.5325210133569881,0.5870985377938914
cao2018,10.0,all_channel,F3,median,1,0.19607843137254902,0.14423076923076922,0.16620498614958445
cao2018,10.0,all_channel,F3,median,57,0.7383711747201985,0.5606757046646406,0.6063778264671282
cao2018,10.0,all_channel,F4,mean,1,0.21606648199445982,0.1875,0.2007722007722008
cao2018,10.0,all_channel,F4,mean,57,0.7337501328131054,0.515616314672186,0.5730202867430875
cao2018,10.0,all_channel,F4,median,1,0.21763085399449036,0.18990384615384615,0.20282413350449296
cao2018,10.0,all_channel,F4,median,57,0.7291322373505811,0.5409230468356373,0.5906565568404729
cao2018,10.0,all_channel,F7,mean,1,0.25390625,0.15625,0.19345238095238096
cao2018,10.0,all_channel,F7,mean,57,0.7247383919953276,0.5505560615709882,0.5971369935669345
cao2018,10.0,all_channel,F7,median,1,0.2529182879377432,0.15625,0.19316493313521546
cao2018,10.0,all_channel,F7,median,57,0.7189686512203507,0.5766759896056997,0.6135019793052187
cao2018,10.0,all_channel,F8,mean,1,0.3439635535307517,0.3629807692307692,0.3532163742690059
cao2018,10.0,all_channel,F8,mean,57,0.7227527249101996,0.5315219640514333,0.5859790288559609
cao2018,10.0,all_channel,F8,median,1,0.34459459459459457,0.36778846153846156,0.355813953488372
cao2018,10.0,all_channel,F8,median,57,0.719286405261259,0.5606343146983485,0.6054444311018734
cao2018,10.0,all_channel,FC3,mean,1,0.12653061224489795,0.07451923076923077,0.09379727685325265
cao2018,10.0,all_channel,FC3,mean,57,0.679773492743161,0.35603122158283845,0.43019652371170525
cao2018,10.0,all_channel,FC3,median,1,0.12653061224489795,0.07451923076923077,0.09379727685325265
cao2018,10.0,all_channel,FC3,median,57,0.6798176485577506,0.37872274460110533,0.449245580251751
cao2018,10.0,all_channel,FC4,mean,1,0.16806722689075632,0.14423076923076922,0.1552393272962484
cao2018,10.0,all_channel,FC4,mean,57,0.6588842873640354,0.3249042097844256,0.39673238415347295
cao2018,10.0,all_channel,FC4,median,1,0.16759776536312848,0.14423076923076922,0.15503875968992248
cao2018,10.0,all_channel,FC4,median,57,0.660089292701237,0.34617424392542356,0.41475208034814637
cao2018,10.0,all_channel,FCZ,mean,1,0.09037900874635568,0.07451923076923077,0.08168642951251646
cao2018,10.0,all_channel,FCZ,mean,57,0.6430836425760748,0.30255209962381074,0.3745283323553437
cao2018,10.0,all_channel,FCZ,median,1,0.09037900874635568,0.07451923076923077,0.08168642951251646
cao2018,10.0,all_channel,FCZ,median,57,0.6431771397576558,0.32452149579764134,0.39307299548598085
cao2018,10.0,all_channel,FP1,mean,1,0.5045871559633027,0.7932692307692307,0.616822429906542
cao2018,10.0,all_channel,FP1,mean,57,0.756418350047105,0.8894594399836809,0.7998865815780943
cao2018,10.0,all_channel,FP1,median,1,0.5007451564828614,0.8076923076923077,0.6182152713891444
cao2018,10.0,all_channel,FP1,median,57,0.7432270321439152,0.9067903091469958,0.801267230809669
cao2018,10.0,all_channel,FP2,mean,1,0.46045694200351495,0.6298076923076923,0.531979695431472
cao2018,10.0,all_channel,FP2,mean,57,0.753892636200674,0.8650623739784025,0.7876720950929643
cao2018,10.0,all_channel,FP2,median,1,0.4536082474226804,0.6346153846153846,0.5290581162324649
cao2018,10.0,all_channel,FP2,median,57,0.7426002413471284,0.8845931280361783,0.7914170943551841
cao2018,10.0,all_channel,FT7,mean,1,0.15920398009950248,0.07692307692307693,0.10372771474878445
cao2018,10.0,all_channel,FT7,mean,57,0.6362803934793818,0.32473400110346523,0.4025323989906162
cao2018,10.0,all_channel,FT7,median,1,0.15920398009950248,0.07692307692307693,0.10372771474878445
cao2018,10.0,all_channel,FT7,median,57,0.6352332303624381,0.3447047030127928,0.41907965496714733
cao2018,10.0,all_channel,FT8,mean,1,0.2977346278317152,0.22115384615384615,0.2537931034482759
cao2018,10.0,all_channel,FT8,mean,57,0.652065972920393,0.3271207547150969,0.40474945345942415
cao2018,10.0,all_channel,FT8,median,1,0.2948717948717949,0.22115384615384615,0.2527472527472528
