dataset,epoch_duration_s,selection,channel,center_method,n_sessions,precision,recall,f1
raja,10.0,all_channel,E104,mean,46,0.14583511240906716,0.012321294963647329,0.021155787548734664
raja,10.0,all_channel,E104,median,46,0.14662205516877136,0.012263444501578706,0.021063212255311797
raja,10.0,all_channel,E109,mean,46,0.16689038347755367,0.01671141894913813,0.028276818439449288
raja,10.0,all_channel,E109,median,46,0.1738445484494259,0.016417872322881947,0.027929825123333828
raja,10.0,all_channel,E11,mean,46,0.7893989777100718,0.5714455851343277,0.6183241281958487
raja,10.0,all_channel,E11,median,46,0.7886486666279984,0.5931313789200684,0.6328278710761556
raja,10.0,all_channel,E112,mean,46,0.26024340501617155,0.020751481571375102,0.03528165747318063
raja,10.0,all_channel,E112,median,46,0.25927798975525507,0.019990148280773522,0.0345760122620953
raja,10.0,all_channel,E117,mean,46,0.36938482865636524,0.05672282348072943,0.08725789725248298
raja,10.0,all_channel,E117,median,46,0.3695707207460644,0.056771173831982887,0.08755040351655854
raja,10.0,all_channel,E122,mean,46,0.29243209369357714,0.06188870583615229,0.09243596684443163
raja,10.0,all_channel,E122,median,46,0.29164221666849116,0.060905733856178944,0.09150357760884675
raja,10.0,all_channel,E124,mean,46,0.6807635879740771,0.3432757718670011,0.4210247483507789
raja,10.0,all_channel,E124,median,46,0.6793990330403226,0.36592183160820346,0.44110765648232403
raja,10.0,all_channel,E13,mean,46,0.2923696039415226,0.017797515819602733,0.03231347851126541
raja,10.0,all_channel,E13,median,46,0.29261317716751406,0.017741860880226862,0.03222375563502112
raja,10.0,all_channel,E22,mean,46,0.8604799477298309,0.8746947787068685,0.8491268324409151
raja,10.0,all_channel,E22,median,46,0.8548572637644709,0.8902771641918461,0.8570966308176698
raja,10.0,all_channel,E23,mean,46,0.8042502232003974,0.6964943742585343,0.7159009156922029
raja,10.0,all_channel,E23,median,46,0.8017994669613517,0.7140874738947108,0.7271537482897644
raja,10.0,all_channel,E24,mean,46,0.6345539770294357,0.3702142688638479,0.4317873828399827
raja,10.0,all_channel,E24,median,46,0.6342647778602555,0.39179672050238745,0.44971851413320246
raja,10.0,all_channel,E26,mean,46,0.6922219861104145,0.5712238744604542,0.5884175390590239
raja,10.0,all_channel,E26,median,46,0.6883439600332145,0.5910269974200361,0.6012323754122709
raja,10.0,all_channel,E28,mean,46,0.3843257712009958,0.06985972810616273,0.10888681876403875
raja,10.0,all_channel,E28,median,46,0.3828121018983596,0.07365425635214887,0.11358838677154857
raja,10.0,all_channel,E3,mean,46,0.8565639667850398,0.7471143332374609,0.7763811569458753
raja,10.0,all_channel,E3,median,46,0.8545289796694453,0.7681263012781226,0.7901619276292354
raja,10.0,all_channel,E33,mean,46,0.20595944212310674,0.05034520792099707,0.07419444042770917
raja,10.0,all_channel,E33,median,46,0.2077564870173358,0.050280488781352786,0.07412768221641515
raja,10.0,all_channel,E37,mean,46,0.14469762267520983,0.013028823334292911,0.023047110744017996
raja,10.0,all_channel,E37,median,46,0.1456566330506366,0.013008206336926885,0.023032998191445896
raja,10.0,all_channel,E40,mean,46,0.14902608503062376,0.01475317217888955,0.02542105268530084
raja,10.0,all_channel,E40,median,46,0.15036498889169891,0.014370224677424345,0.024803241968227016
raja,10.0,all_channel,E47,mean,46,0.12692470902707342,0.011832628043408941,0.019970557401204844
raja,10.0,all_channel,E47,median,46,0.12358627915710645,0.011494785443404931,0.01939293935043527
raja,10.0,all_channel,E59,mean,46,0.12612677896359437,0.011829646639458086,0.020430294204023876
raja,10.0,all_channel,E59,median,46,0.1297507115424331,0.011308544753554462,0.019621308111028555
raja,10.0,all_channel,E60,mean,46,0.12393284817682891,0.013001488731848927,0.022260818841497526
raja,10.0,all_channel,E60,median,46,0.12200459274729321,0.012700271237023678,0.02181815936817037
raja,10.0,all_channel,E62,mean,46,0.13052408479982763,0.017778606758191432,0.029578886717497355
