dataset,session,selection,center_method,iou_threshold,n_channels_used,channel,raw_candidate_count,mapped_candidate_count,tp,fp,fn,precision,recall,f1
cao2018,S01/051017m,frontal,median,0.0,4,F4,359,359,359,0,49,1.0,0.8799019607843137,0.9361147327249022
cao2018,S01/051017m,frontal,median,0.0,4,F3,314,314,314,0,94,1.0,0.7696078431372549,0.8698060941828256
cao2018,S01/051017m,frontal,median,0.0,4,FP2,572,572,408,164,0,0.7132867132867133,1.0,0.8326530612244898
cao2018,S01/051017m,frontal,median,0.0,4,FP1,666,666,408,258,0,0.6126126126126126,1.0,0.7597765363128491
cao2018,S01/051017m,frontal,median,0.1,4,FP1,666,666,331,335,77,0.496996996996997,0.8112745098039216,0.6163873370577281
cao2018,S01/051017m,frontal,median,0.1,4,FP2,572,572,258,314,150,0.45104895104895104,0.6323529411764706,0.5265306122448979
cao2018,S01/051017m,frontal,median,0.1,4,F4,359,359,78,281,330,0.21727019498607242,0.19117647058823528,0.20338983050847456
cao2018,S01/051017m,frontal,median,0.1,4,F3,314,314,61,253,347,0.1942675159235669,0.14950980392156862,0.1689750692520776
cao2018,S01/051017m,frontal,median,0.2,4,FP1,666,666,295,371,113,0.44294294294294295,0.7230392156862745,0.5493482309124768
cao2018,S01/051017m,frontal,median,0.2,4,FP2,572,572,214,358,194,0.3741258741258741,0.5245098039215687,0.43673469387755104
cao2018,S01/051017m,frontal,median,0.2,4,F4,359,359,61,298,347,0.16991643454038996,0.14950980392156862,0.15906127770534548
cao2018,S01/051017m,frontal,median,0.2,4,F3,314,314,42,272,366,0.1337579617834395,0.10294117647058823,0.11634349030470914
cao2018,S01/051017m,frontal,median,0.3,4,FP1,666,666,207,459,201,0.3108108108108108,0.5073529411764706,0.38547486033519557
cao2018,S01/051017m,frontal,median,0.3,4,FP2,572,572,136,436,272,0.23776223776223776,0.3333333333333333,0.27755102040816326
cao2018,S01/051017m,frontal,median,0.3,4,F4,359,359,36,323,372,0.10027855153203342,0.08823529411764706,0.0938722294654498
cao2018,S01/051017m,frontal,median,0.3,4,F3,314,314,23,291,385,0.0732484076433121,0.056372549019607844,0.06371191135734071
cao2018,S01/051017m,frontal,median,0.5,4,FP1,666,666,44,622,364,0.06606606606606606,0.10784313725490197,0.08193668528864059
cao2018,S01/051017m,frontal,median,0.5,4,FP2,572,572,28,544,380,0.04895104895104895,0.06862745098039216,0.05714285714285714
cao2018,S01/051017m,frontal,median,0.5,4,F4,359,359,11,348,397,0.03064066852367688,0.02696078431372549,0.02868318122555411
cao2018,S01/051017m,frontal,median,0.5,4,F3,314,314,1,313,407,0.0031847133757961785,0.0024509803921568627,0.0027700831024930752
cao2018,S01/051017m,frontal_left,median,0.0,2,F3,300,300,300,0,108,1.0,0.7352941176470589,0.8474576271186441
cao2018,S01/051017m,frontal_left,median,0.0,2,FP1,666,666,408,258,0,0.6126126126126126,1.0,0.7597765363128491
cao2018,S01/051017m,frontal_left,median,0.1,2,FP1,666,666,331,335,77,0.496996996996997,0.8112745098039216,0.6163873370577281
cao2018,S01/051017m,frontal_left,median,0.1,2,F3,300,300,60,240,348,0.2,0.14705882352941177,0.16949152542372883
cao2018,S01/051017m,frontal_left,median,0.2,2,FP1,666,666,295,371,113,0.44294294294294295,0.7230392156862745,0.5493482309124768
cao2018,S01/051017m,frontal_left,median,0.2,2,F3,300,300,40,260,368,0.13333333333333333,0.09803921568627451,0.11299435028248588
cao2018,S01/051017m,frontal_left,median,0.3,2,FP1,666,666,207,459,201,0.3108108108108108,0.5073529411764706,0.38547486033519557
cao2018,S01/051017m,frontal_left,median,0.3,2,F3,300,300,22,278,386,0.07333333333333333,0.05392156862745098,0.06214689265536723
cao2018,S01/051017m,frontal_left,median,0.5,2,FP1,666,666,45,621,363,0.06756756756756757,0.11029411764705882,0.08379888268156424
cao2018,S01/051017m,frontal_left,median,0.5,2,F3,300,300,1,299,407,0.0033333333333333335,0.0024509803921568627,0.002824858757062147
cao2018,S01/051017m,frontal_right,median,0.0,2,FP2,453,453,408,45,0,0.9006622516556292,1.0,0.9477351916376306
cao2018,S01/051017m,frontal_right,median,0.0,2,F4,301,301,301,0,107,1.0,0.7377450980392157,0.849083215796897
cao2018,S01/051017m,frontal_right,median,0.1,2,FP2,453,453,212,241,196,0.46799116997792495,0.5196078431372549,0.4924506387921022
cao2018,S01/051017m,frontal_right,median,0.1,2,F4,301,301,64,237,344,0.21262458471760798,0.1568627450980392,0.18053596614950637
cao2018,S01/051017m,frontal_right,median,0.2,2,FP2,453,453,167,286,241,0.3686534216335541,0.40931372549019607,0.3879210220673635
cao2018,S01/051017m,frontal_right,median,0.2,2,F4,301,301,53,248,355,0.1760797342192691,0.12990196078431374,0.14950634696755993
cao2018,S01/051017m,frontal_right,median,0.3,2,FP2,453,453,97,356,311,0.2141280353200883,0.23774509803921567,0.22531939605110335
cao2018,S01/051017m,frontal_right,median,0.3,2,F4,301,301,29,272,379,0.09634551495016612,0.07107843137254902,0.08180535966149508
cao2018,S01/051017m,frontal_right,median,0.5,2,FP2,453,453,21,432,387,0.046357615894039736,0.051470588235294115,0.04878048780487805
cao2018,S01/051017m,frontal_right,median,0.5,2,F4,301,301,9,292,399,0.029900332225913623,0.022058823529411766,0.025387870239774332
